,Earliest Release Date,Running Time,Genres,Title,Revenue,Domestic Distributor,Domestic Opening,MPAA,IMDB_ID
0,"September 22, 2022 (APAC, EMEA)",1 hr 38 min,Horror Thriller,Raven's Hollow (2022),"{'Domestic': 187222, 'International': 187222}",,,,tt15245390
1,"February 3, 2022 (11 markets)",2 hr 10 min,Action Adventure Sci-Fi,Moonfall (2022),"{'Domestic': 19060660, 'International': 48234703, 'Worldwide': 67295363}",Lions Gate Films,9868997,PG-13,tt5834426
2,,9 min,Horror Short,Good Boy (2023),{},,,,tt29297987
3,,1 hr 30 min,Adventure Crime Mystery,Miss Willoughby and the Haunted Bookshop (2021),{},,,PG,tt12825632
4,,1 hr 41 min,Animation Crime Drama Fantasy,Blaze (2022),"{'Domestic': 56928, 'International': 56928}",,,,tt11018264
5,,1 hr 16 min,Documentary,Put It in the Pocket: DC's Go-Go Music (2022),{},,,,tt27773842
6,,,Short,Domino: A Short Indie Film (2009),{},,,,tt3249322
7,,1 hr 23 min,Adventure Drama Family,The Curious Case of Dolphin Bay (2022),{},,,,tt16420002
8,,2 hr 1 min,Comedy Drama,Ah Girls Go Army (2022),{},,,,tt16756942
9,"May 20, 2022 (Domestic)",1 hr 33 min,Comedy,Good Mourning (2022),"{'Domestic': 21348, 'International': 21348}",Briarcliff Entertainment,16010,R,tt15331186
10,,1 hr 27 min,Horror,Terror Trips (2021),{},,,,tt10384456
11,,1 hr 30 min,Documentary,Four Winters: A Story of Jewish Partisan Resistance and Bravery in WW2 (2022),{},,,,tt1787125
12,"July 7, 2022 (Croatia)",1 hr 40 min,Comedy Sport,1UP (2022),"{'Domestic': 2379, 'International': 2379}",,,R,tt13487922
13,,10 min,Comedy Short,Kill Me Daddy (2021),{},,,,tt21034278
14,,5 min,Animation Short,Speak KDSK (2022),{},,,,tt21986300
15,,1 hr 25 min,Comedy Romance,"Write Place, Write Time (2023)",{},,,,tt22054672
16,"January 20, 2022 (Russia/CIS)",1 hr 17 min,Horror,Know Fear (2021),"{'Domestic': 15067, 'International': 15067}",,,,tt9191700
17,,1 hr 23 min,Horror Mystery Thriller,The Latent Image (2022),{},,,,tt15682790
18,,5 min,Animation Short,Reunion Party (2022),{},,,,tt24022446
19,,1 hr 20 min,Biography Documentary,Los Zuluagas (2021),{},,,,tt17501074
20,,,Horror Short,Hairsucker (2022),{},,,,tt21194248
21,,1 hr 41 min,Drama Sci-Fi,Karmalink (2021),{},,,,tt10396450
22,,2 hr 16 min,Comedy Music,The Gondoliers (2022),{},,,,tt21477982
23,,1 hr 36 min,Drama,Ariel: Back to Buenos Aires (2022),{},,,,tt11790268
24,,1 hr 22 min,,The Cry of Granuaile (2022),{},,,,tt16642572
25,,1 hr 27 min,Comedy Fantasy Horror,Bae Wolf (2022),{},,,,tt14715444
26,,1 hr 30 min,Comedy Romance,A Wall Away (2024),{},,,,tt12432558
27,,1 hr 42 min,Biography Drama Family,Pardoned by Grace (2022),{},,,,tt10751150
28,,1 hr 16 min,Action Adventure Comedy Horror Thriller,The Wraith Within (2023),{},,,,tt6913472
29,"February 18, 2022 (United Kingdom)",1 hr 23 min,Drama Mystery Thriller,Here Before (2021),"{'Domestic': 20793, 'International': 20793}",,,R,tt8649190
30,,1 hr 34 min,Thriller,8000 Ft Up (2022),{},,,,tt15421782
31,,,Sci-Fi Short,Dragon Fruit (2023),{},,,,tt14623962
32,,41 min,Documentary Short,Anything Can Happen (2022),{},,,,tt27053938
33,,40 min,Crime Short,Henko (2022),{},,,,tt27789228
34,"February 17, 2022 (United Arab Emirates)",1 hr 29 min,Crime Drama Thriller,Kimi (2022),"{'Domestic': 63155, 'International': 63155}",,,R,tt14128670
35,"January 16, 2020 (Netherlands)",29 min,Animation Comedy Drama Short,Mind My Mind (2019),"{'Domestic': 34429, 'International': 34429}",,,,tt9445988
36,"November 4, 2022 (Iceland)",2 hr 41 min,Action Adventure Drama Sci-Fi,Black Panther: Wakanda Forever (2022),"{'Domestic': 453829060, 'International': 405379776, 'Worldwide': 859208836}",Walt Disney Studios Motion Pictures,181339761,PG-13,tt9114286
37,,1 hr 34 min,Documentary,Never Forget Tibet (2022),{},,,,tt8459190
38,,1 hr 24 min,Documentary History Reality-TV,Ghost Adventures: Devil's Den (2022),{},,,,tt22397628
39,,1 hr 44 min,Comedy Romance Sci-Fi,Moonshot (2022),{},,,PG-13,tt12585076
40,,54 min,Documentary,When Pigs Escape (2022),{},,,,tt23666142
41,,1 hr 31 min,Documentary,Soothe Your Senses (2022),{},,,,tt27791389
42,,13 min,Adventure Short,The Adventures of Brooklyn Barnes (2022),{},,,,tt22881860
43,"March 3, 2022 (New Zealand)",1 hr 29 min,Documentary,Carbon - The Unauthorised Biography (2022),"{'Domestic': 10368, 'International': 10368}",,,,tt17939566
44,,12 min,Comedy Short,Enloquecer (2022),{},,,,tt20770946
45,"May 13, 2022 (Domestic)",1 hr 52 min,Action Crime Thriller Western,The Last Victim (2021),"{'Domestic': 2428, 'International': 2428}",Decal Releasing,,,tt11242718
46,,1 hr 33 min,Crime Drama Mystery Romance,The Hanging Sun (2022),{},,,,tt6986990
47,,29 min,Documentary Short,We Love Life (2022),{},,,,tt19401044
48,"November 30, 2022 (APAC, EMEA)",1 hr 52 min,Action Comedy Thriller,Violent Night (2022),"{'Domestic': 50057405, 'International': 25947000, 'Worldwide': 76004405}",Universal Pictures,13450240,R,tt12003946
49,,2 hr 8 min,Crime Horror Mystery Thriller,The Pale Blue Eye (2022),{},,,R,tt14138650
50,,1 hr 47 min,Fantasy,Violet's Prey and the Vampire Slayer (2022),{},,,,tt27796157
51,,45 min,Animation,Grievance Gulch (2022),{},,,,tt27796696
52,"July 7, 2022 (EMEA, APAC)",2 hr 25 min,Drama,Shareek 2 (2022),"{'Domestic': 114065, 'International': 114065}",,,,tt15018474
53,"September 8, 2022 (EMEA, LATAM)",1 hr 44 min,Comedy Romance,Ticket to Paradise (2022),"{'Domestic': 68275985, 'International': 100491494, 'Worldwide': 168767479}",Universal Pictures,16509095,PG-13,tt14109724
54,,,Comedy Family Musical,Bus Om Bebek (2021),{},,,,tt11754500
55,,2 hr 14 min,Drama Romance,The Other Side (2022),{},,,,tt18815600
56,"June 3, 2022 (Domestic)",1 hr 52 min,Thriller,Frank and Penelope (2022),{},Redbud Studios,,R,tt4459134
57,,1 hr 26 min,Documentary,Addicted to Life (2022),{},,,,tt22985706
58,,,Comedy Short,The Internet Remains Undefeated (2022),{},,,,tt19863386
59,"November 3, 2022 (Italy)",1 hr 36 min,Comedy Drama,My Neighbor Adolf (2022),"{'Domestic': 34196, 'International': 34196}",,,,tt7175968
60,"November 4, 2022 (Domestic)",1 hr 46 min,Comedy Mystery Romance Sci-Fi,Next Exit (2022),"{'Domestic': 4742, 'International': 4742}",Magnolia Pictures,3255,,tt19595494
61,,1 hr 21 min,Drama,Wild Life (2022),{},,,PG-13,tt18469778
62,"February 24, 2022 (Russia/CIS)",1 hr 33 min,Horror,The Jack in the Box: Awakening (2022),"{'Domestic': 991471, 'International': 991471}",,,,tt12764628
63,,1 hr 34 min,Comedy Drama Romance,"Sex, Lies, and Sugar (2011)",{},,,,tt21920786
64,,,Comedy Short Thriller,Our Language Is Chaos (2022),{},,,,tt21330274
65,,1 hr 25 min,Drama Romance,Tennessine (2023),{},,,,tt14438380
66,,1 hr 25 min,Documentary Horror,Dinner with Leatherface,{},,,,tt5862740
67,,1 hr 28 min,Comedy Drama,Allswell in New York (2022),{},,,,tt12243560
68,,1 hr 11 min,Drama,In My Head (2022),{},,,,tt26693465
69,"November 4, 2022 (United Kingdom)",1 hr 30 min,Adventure Mystery Sci-Fi,Deus (2022),"{'Domestic': 12154, 'International': 12154}",,,,tt8980128
70,,,Thriller,Would You Like to Dine with Me? (2022),{},,,,tt16604768
71,"April 13, 2023 (Domestic)",1 hr 37 min,Documentary,The Lost Weekend: A Love Story (2022),"{'Domestic': 102531, 'International': 102531}",Iconic Events Releasing,78079,,tt19812518
72,"August 4, 2022 (Russia/CIS)",1 hr 20 min,Horror Thriller,Motherly (2021),"{'Domestic': 117226, 'International': 117226}",,,,tt11464730
73,,,Documentary,Fio do Afeto (2022),{},,,,tt23029168
74,"September 14, 2023 (Domestic)",1 hr 40 min,Documentary,Elis and Tom (2023),{},Outsider Pictures,,,tt26255088
