,Unnamed: 0.1,Unnamed: 0,Earliest Release Date,Running Time,Genres,Title_x,Domestic Distributor,Domestic Opening,MPAA,IMDB_ID,ID,Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue_y,Runtime,Title_y,movie_id,cast_ids,order,director_ids,domestic_revenue,international_revenue,worldwide_revenue
0,0,0,"September 22, 2022 (APAC, EMEA)",1 hr 38 min,Horror Thriller,Raven's Hollow (2022),,,,tt15245390,996581,0,"[9648, 53, 27]","['Mystery', 'Thriller', 'Horror']",tt15245390,"[178344, 84180, 31787, 178345]","['828 Media Capital', 'Cinevilla Studio', 'Creativity Capital', ""Raven's Hollow""]",9/22/22,0,98,Raven's Hollow,996581,"[1312450, 5528, 71083, 54014, 1745556, 1817757, 2441538, 1473137, 40716, 1283511, 3666036, 2189220]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[1001976],187222.0,187222.0,
1,1,1,"February 3, 2022 (11 markets)",2 hr 10 min,Action Adventure Sci-Fi,Moonfall (2022),Lions Gate Films,9868997.0,PG-13,tt5834426,406759,146000000,"[878, 12, 28]","['Science Fiction', 'Adventure', 'Action']",tt5834426,"[347, 114885, 1632, 110799, 89488, 204641]","['Centropolis Entertainment', 'Street Entertainment', 'Lionsgate', 'AGC Studios', 'Huayi Tencent Entertainment Company', 'Huayi Brothers International']",2/3/22,67295363,131,Moonfall,406759,"[4587, 17178, 1010135, 1440574, 2225985, 454, 1447280, 3209967, 3209971, 3412752, 2069639, 2027576, 92748, 32031, 29880, 2092551, 58170, 55636, 135993, 224144, 1519259, 2718351, 1810156, 1384357, 1451899, 131335, 181247, 2701488, 4175795, 1260716, 102852, 1548736, 1778417, 4175796, 4175797, 3903821, 4175798, 61947, 2081560, 2431913, 1842614, 3322527, 1903305, 3209968, 198662, 1848595, 217560, 2325281, 2719571, 4175799, 1840852, 2617884, 1569228, 2069637, 207881, 2573249, 2547056, 1756358, 4175800, 2081529, 1796425, 724359, 1756362, 3921083, 2603206, 1646452, 2646039, 3783558, 1183805, 2069637, 2092553, 1209245, 2115110]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]",[6046],19060660.0,48234703.0,67295363.0
2,2,2,,9 min,Horror Short,Good Boy (2023),,,,tt29297987,1029352,0,[27],['Horror'],tt29297987,[],[],7/27/22,0,9,Good Boy,1029352,[2223754],[0],[3718479],,,
3,3,3,,1 hr 30 min,Adventure Crime Mystery,Miss Willoughby and the Haunted Bookshop (2021),,,PG,tt12825632,734442,0,"[9648, 80]","['Mystery', 'Crime']",tt12825632,"[138759, 102290, 3604, 1632, 141919]","['Highfield Grange Studios', 'Goldfinch Studios', 'Grindstone Entertainment Group', 'Lionsgate', 'MSR Media']",3/6/22,0,95,Miss Willoughby and the Haunted Bookshop,734442,"[17337, 7090, 96698, 80371, 47615, 2392724, 1336359, 26121, 1396198, 1227672, 3347696, 3347694, 3474466, 3474467, 2710280, 1932438, 3474470]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",[255350],,,
4,4,4,,1 hr 41 min,Animation Crime Drama Fantasy,Blaze (2022),,,,tt11018264,767254,0,"[18, 14, 80]","['Drama', 'Fantasy', 'Crime']",tt11018264,"[7584, 10951, 162558, 14604, 32301, 139867]","['Screen Australia', 'Screen NSW', 'Fin Design & Effects', 'Spectrum Films', 'Causeway Films', 'WeirAnderson.com']",8/25/22,0,101,Blaze,767254,"[1966493, 1284159, 1028560, 189230, 1347947, 1068123, 61350, 144080, 1176943, 2865120, 2620565, 1231105, 3263623, 3263622, 77722, 1505321, 3263624, 3263625, 3263626, 3263627, 3076440, 3263628, 3263629]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",[1571618],56928.0,56928.0,
5,5,5,,1 hr 16 min,Documentary,Put It in the Pocket: DC's Go-Go Music (2022),,,,tt27773842,1127726,0,[99],['Documentary'],tt27773842,[200244],['Fedora Visual Arts'],1/1/22,0,76,Put It in the Pocket: DC’s Go-Go Music,1127726,[],[],[4065574],,,
6,6,6,,,Short,Domino: A Short Indie Film (2009),,,,tt3249322,1029436,0,[27],['Horror'],tt3249322,[182919],['Bir Zamanlar Kinoteatrda'],4/19/22,0,2,Thinking Kills.,1029436,[],[],[],,,
7,7,7,,1 hr 23 min,Adventure Drama Family,The Curious Case of Dolphin Bay (2022),,,,tt16420002,963930,0,"[10751, 12, 18]","['Family', 'Adventure', 'Drama']",tt16420002,[199833],['Jaggi Entertainment'],9/22/22,0,83,The Curious Case of Dolphin Bay,963930,"[2560614, 2635018, 3511000, 3511001, 1231111, 1228912, 3511007, 1230312, 1861492, 2725237, 2630479]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[2994239],,,
8,8,8,,2 hr 1 min,Comedy Drama,Ah Girls Go Army (2022),,,,tt16756942,931176,1428000,"[35, 18]","['Comedy', 'Drama']",tt16756942,"[18443, 55802]","['J Team Productions', 'MM2 Entertainment']",2/1/22,1785000,121,Ah Girls Go Army,931176,"[1916751, 1776779, 3672728, 1150002, 3672720, 3672729, 3672724, 3672721, 3673527, 2151489, 3672722, 3672726, 3672723, 3672725, 1553923, 3672727, 3672730, 3672731, 3672732, 3672733, 3672734]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",[225055],,,
9,9,9,"May 20, 2022 (Domestic)",1 hr 33 min,Comedy,Good Mourning (2022),Briarcliff Entertainment,16010.0,R,tt15331186,865686,0,[35],['Comedy'],tt15331186,"[159722, 145546, 10427]","['Cedar Park Studios', 'Raven Capital Management', 'Open Road Films']",5/20/22,21348,93,Good Mourning,865686,"[1276759, 2805883, 1529446, 1098962, 1427948, 66555, 19537, 2495673, 1482206, 59176, 1034599, 52866, 21397, 74036, 11160, 19767, 2604482, 1733897, 1133737, 1736803, 2072805, 3815922, 2465757, 3068588, 3815932, 1282495, 3487699, 2613646, 155293, 3144159, 1214432, 1708461, 1450782, 2935480, 3815996, 3815997, 3118524, 3816772, 1053290, 3530948, 3816861, 2397543, 3216298, 2510619, 2639191, 2071583]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]","[1276759, 2805883]",21348.0,21348.0,
