,ID,Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue,Runtime,Title
3127,2034,45000000,"[28, 80, 18]","['Action', 'Crime', 'Drama']",tt0139654,"[24939, 79, 172, 19507, 174]","[b'WV Films II', b'Village Roadshow Pictures', b'NPV Entertainment', b'Outlaw Productions', b'Warner Bros. Pictures']",10/5/01,104876233,122,b'Training Day'
3597,77047,0,[27],['Horror'],tt0162030,[3606],[b'Telecom Entertainment Inc.'],11/12/01,0,93,b'Unseen Evil'
4683,875101,0,"[99, 36]","['Documentary', 'History']",tt0307344,"[131093, 118, 16551]","[b'C&C Productions', b'Det Danske Filminstitut', b'Norsk Filminstitutt']",4/20/01,0,70,b'Portrait of God'
4708,1080015,0,[],[],,[],[],1/1/01,0,8,b'Going to the Ocean'
7412,268290,0,"[18, 14]","['Drama', 'Fantasy']",tt3778646,[],[],1/1/02,0,10,b'The Psychology of Dream Analysis'
11124,258397,0,[],[],tt0386804,[],[],11/7/03,0,14,b'Stressless'
12004,37266,16000000,[18],['Drama'],tt0286058,"[16923, 1472, 8291]","[b'Zephyr Films', b'Delux Productions', b'C.R.G. International']",1/1/04,0,94,b'Secret Passage'
17917,84913,0,[27],['Horror'],tt0466392,[],[],1/1/05,0,54,b'Pot Zombies'
20759,140373,0,"[16, 10751]","['Animation', 'Family']",tt1147654,[],[],12/5/06,0,46,"b""Toot & Puddle: I'll Be Home for Christmas"""
21126,535417,0,[99],['Documentary'],,[],[],8/1/06,0,60,b'Cruel Sea: The Penlee Lifeboat Disaster'
21559,144762,0,[10402],['Music'],,[4369],[b'Legacy Filmworks'],10/31/06,0,0,"b""Buddy Guy Can't Quit The Blues"""
21767,14561,0,"[35, 10751, 10749]","['Comedy', 'Family', 'Romance']",tt0455400,"[738, 7232, 1205]","[b'Myriad Pictures', b'Accent Entertainment Corporation', b'Endgame Entertainment']",1/1/06,0,99,b'Comeback Season'
22162,311596,0,[],[],,[],[],1/1/06,0,0,b'New Orleans Exposed: Before and After Katrina'
22752,53913,0,[35],['Comedy'],tt0483722,[179511],[b'Benson Entertainment Inc.'],3/18/06,0,87,"b'Lovers, Liars and Lunatics'"
