id,name,known_for_dept,popularity
47,Björk,Acting,4.251
50,Catherine Deneuve,Acting,21.197
52,David Morse,Acting,17.897
53,Peter Stormare,Acting,17.654
6748,Joel Grey,Acting,2.966
2617,Cara Seymour,Acting,6.206
6749,Vladica Kostic,Acting,1.567
1642,Jean-Marc Barr,Acting,3.241
6750,Vincent Paterson,Directing,2.48
6751,Siobhan Fallon Hogan,Acting,13.219
6752,Zeljko Ivanek,Acting,16.57
1646,Udo Kier,Acting,7.484
6121,Jens Albinus,Acting,2.507
6753,Reathel Bean,Acting,1.521
6754,Mette Berggreen,Acting,0.6
6755,Lars Michael Dinesen,Acting,0.6
6756,Katrine Falkenberg,Acting,1.176
6757,Michael Flessas,Acting,0.6
6758,John Randolph Jones,Acting,2.264
1640,Stellan Skarsgård,Acting,21.337
4458,Paprika Steen,Acting,4.902
1439629,Noah Lazarus,Acting,1.4
6135,John Martinus,Acting,1.82
1507755,Luke Reilly,Acting,2.048
1190848,Sean-Michael Smith,Writing,0.652
1445063,Al Agami,Acting,0.6
148629,Anna Norberg,Acting,1.477
1151162,Troels Asmussen,Acting,0.97
1335599,Caroline Sascha Cogez,Directing,1.153
42,Lars von Trier,Directing,8.892
7431,Kevin Zegers,Acting,15.226
58727,Jamie Renée Smith,Acting,4.076
1302677,Alexa Benette Fox,Acting,0.6
1212974,Lomax Study,Acting,1.698
172788,Russell Ferrier,Acting,0.98
1224802,Jane Sowerby,Acting,2.843
65807,Ingrid Tesch,Acting,2.874
64670,Philip Granger,Acting,3.076
1538,Rick Ducommun,Acting,6.829
180137,Aaron Smolinski,Acting,0.774
2179450,Shane Vajda,Acting,0.6
1560527,Trevor Roberts,Acting,2.661
61167,Frank C. Turner,Acting,3.88
158356,Campbell Lane,Acting,3.804
3736091,"Bernie, Mac, and Louie",Acting,0.6
172851,Ray Galletti,Acting,2.796
172422,Myles Ferguson,Acting,1.429
61961,Dave Thomas,Acting,10.013
4095,David James Lewis,Acting,6.126
93035,Oliver Muirhead,Acting,2.937
63791,Jay Brazeau,Acting,4.66
58513,Patrick Cranshaw,Acting,3.115
61244,Robert Vince,Directing,3.883
478,Jamie Bell,Acting,15.313
480,Gary Lewis,Acting,8.461
477,Julie Walters,Acting,17.881
481,Jean Heywood,Acting,3.603
479,Jamie Draven,Acting,2.225
482,Stuart Wells,Acting,1.592
1241113,Mike Elliot,Acting,0.6
3182293,Billy Fane,Acting,0.737
483,Nicola Blackwell,Acting,0.706
3182294,Carol McGuigan,Acting,0.6
107381,Joe Renton,Acting,1.605
116991,Colin MacLachlan,Acting,1.279
487,Janine Birkett,Acting,0.617
938824,Trevor Fox,Acting,3.863
1041491,Charlie Hardwick,Acting,4.56
3182296,Denny Ferguson,Acting,0.6
3182297,Dennis Lingard,Acting,0.6
544076,Matthew James Thomas,Acting,2.677
21345,Stephen Mangan,Acting,4.231
1095523,Paul Ridley,Acting,1.106
8979,Patrick Malahide,Acting,6.79
8228,Barbara Leigh-Hunt,Acting,6.215
53488,Imogen Claire,Acting,0.863
15094,Diana Kent,Acting,4.028
1083619,Neil North,Acting,0.732
30317,Lee Williams,Acting,2.222
2462379,Petra Siniawski,Acting,0.618
1222024,Merelina Kendall,Acting,1.954
20494,Zoë Bell,Acting,6.712
195254,Tracey Wilkinson,Acting,2.142
1294725,Merryn Owen,Acting,1.09
1137229,Adam Cooper,Acting,1.47
468,Stephen Daldry,Directing,11.428
529,Guy Pearce,Acting,23.903
530,Carrie-Anne Moss,Acting,17.338
532,Joe Pantoliano,Acting,12.583
534,Mark Boone Junior,Acting,11.419
535,Russ Fega,Acting,1.079
536,Jorja Fox,Acting,8.917
537,Stephen Tobolowsky,Acting,7.396
538,Harriet Sansom Harris,Acting,3.962
539,Thomas Lennon,Acting,11.954
540,Callum Keith Rennie,Acting,5.15
542,Kimberly Campbell,Acting,4.152
543,Marianne Muellerleile,Acting,5.614
544,Larry Holden,Acting,3.675
525,Christopher Nolan,Directing,50.252
934,Russell Crowe,Acting,51.807
73421,Joaquin Phoenix,Acting,13.064
935,Connie Nielsen,Acting,20.807
936,Oliver Reed,Acting,6.626
194,Richard Harris,Acting,12.259
937,Derek Jacobi,Acting,9.368
938,Djimon Hounsou,Acting,16.004
939,David Schofield,Acting,4.54
940,John Shrapnel,Acting,5.02
941,Tomas Arana,Acting,5.477
942,Ralf Moeller,Acting,4.913
4012,Spencer Treat Clark,Acting,22.621
15196,David Hemmings,Acting,6.999
2478,Tommy Flanagan,Acting,18.077
20761,Sven-Ole Thorsen,Acting,4.628
41379,Omid Djalili,Acting,7.551
80368,Nicholas McGaughey,Acting,1.181
3785463,Chris Kell,Acting,0.6
2220,Tony Curran,Acting,8.549
27408,Mark Lewis,Acting,1.529
200689,John Quinn,Acting,1.27
1052482,Alun Raglan,Acting,2.533
1715,David Bailie,Acting,1.918
3785484,Chick Allan,Acting,0.6
1760088,David J. Nicholls,Acting,2.09
124314,Al Hunter Ashton,Acting,6.398
2219097,Billy Dowd,Production,0.655
1810185,Ray Calleja,Acting,0.752
58787,Giannina Facio,Acting,3.42
9236,Giorgio Cantarini,Acting,6.142
78018,Allan Corduner,Acting,7.218
96993,Michael Mellinger,Acting,3.598
27654,Said Amel,Acting,1.186
1376050,Adam Levy,Acting,3.601
1475236,Gilly Gilchrist,Acting,2.932
1935707,Paul Bateman,Acting,0.6
3785513,Nick Beardshaw,Acting,0.6
2542413,Corey Booth,Acting,0.6
2651772,Michael Dickins,Acting,0.6
1206006,Malcolm Ellul,Acting,1.141
3785523,Simon Faulkner,Acting,0.6
2921687,James Fiddy,Acting,0.6
3785529,Peter Francis-Wemyss,Acting,0.6
3785533,Ruth Frendo,Acting,0.6
3785615,Cara Higgins,Acting,0.6
3785616,Earl Hundt,Acting,0.6
3785617,Mehdi Kashani,Acting,0.6
2722491,Tom Kay,Acting,0.6
3785680,Phil Lowes,Acting,0.6
3785682,Nic Main,Acting,0.648
1114427,Ray Mangion,Acting,1.22
3785684,Antonio Meitin,Acting,0.6
1207207,João Costa Menezes,Acting,1.726
168524,Mike Mitchell,Acting,0.6
2331437,Arnold Montey,Production,1.4
4204,Antone Pagán,Acting,3.191
1566178,Norman Campbell Rees,Acting,0.6
2156204,Neil Roche,Lighting,0.6
2151711,Paul Sacks,Directing,0.6
1566183,Steve Saunders,Acting,2.255
3785696,Christopher Say,Acting,0.6
1434599,Brian Smyj,Crew,2.225
2283476,Richard Stride,Acting,0.806
1313601,Tony Tomlinson,Acting,0.6
3368713,Paul Woodadge,Acting,0.6
2320421,Michael Yale,Acting,1.4
578,Ridley Scott,Directing,11.022
976,Jason Statham,Acting,118.356
287,Brad Pitt,Acting,27.412
1115,Stephen Graham,Acting,17.372
1117,Dennis Farina,Acting,13.434
1116,Alan Ford,Acting,4.854
1121,Benicio del Toro,Acting,17.526
980,Vinnie Jones,Acting,15.853
1119,Robbie Gee,Acting,3.677
1120,Lennie James,Acting,6.988
1118,Rade Šerbedžija,Acting,5.765
2627,Ade,Acting,1.438
1122,Mike Reid,Acting,1.943
973,Jason Flemyng,Acting,16.38
1125,Ewen Bremner,Acting,11.366
1123,Andy Beckwith,Acting,4.162
40651,Charles Cork,Acting,2.833
1221763,Sorcha Cusack,Acting,13.099
60348,Dave Legeno,Acting,1.158
1340211,Trevor Steedman,Acting,0.629
83838,Yuri Stepanov,Acting,0.985
