title,release_date,budget,revenue
La maldición de Frankenstein,1973-05-31,0,0
8 Mile,2002-11-08,41000000,242875078
Young Frankenstein,1974-12-15,2800000,86273333
End Game,2006-03-22,5000000,208101
Seifenblasen,1985-05-14,0,0
Beerfest,2006-08-25,17500000,19179969
M. Butterfly,1993-09-09,0,1499795
Otto - Der Neue Film,1987-07-16,0,0
What the #$*! Do We (K)now!?,2004-04-23,0,10000000
Dances with Wolves,1990-03-30,22000000,424208848
Of Mice and Men,1992-09-16,0,5471088
The Sure Thing,1985-03-01,4500000,18135531
Schröders wunderbare Welt,2006-11-17,0,0
鬼婆,1964-11-21,0,0
Death Machine,1994-12-23,0,1422749
Clerks,1994-10-19,27575,3151130
The Lovely Bones,2009-12-26,65000000,93621340
Emil and the Detectives,1964-12-18,0,0
Lenin: The Train,1990-04-30,0,0
Twilight,2008-11-20,37000000,393616788
Reign Over Me,2007-03-22,20000000,22222308
Eternal Sunshine of the Spotless Mind,2004-03-19,20000000,72258126
Juno,2007-12-05,7500000,232372681
ملح هذا البحر,2008-05-16,0,0
The Heist,1972-11-29,0,0
Philadelphia,1993-12-22,26000000,206678440
Ein Polterabend,1955-08-18,0,0
The Wild Blue Yonder,2005-09-05,0,0
Munchies,1987-03-01,0,0
Dr. Jekyll and Mr. Hyde,1920-03-18,0,0
修羅雪姫,1973-12-01,0,0
The Good Thief,2003-04-03,0,0
Anatomie de l'enfer,2004-01-28,0,0
Oliver Twist,2005-09-23,50000000,42580321
Kampftag,1982-01-01,0,0
Tonight at Noon,,0,0
Tableau d'honneur,1992-08-26,0,0
2001: A Space Travesty,2000-10-31,26000000,270813
Broken Blossoms,1919-05-13,0,2400000
Little Laura and Big John,1973-05-03,0,0
Quelques jours avec moi,1988-08-14,0,0
Vampires,1998-10-30,20000000,20308772
George and the Dragon,2004-03-28,32000000,0
Rundweltmädchen gesucht!,2006-04-08,0,0
Quante volte... quella notte,1971-07-01,0,0
Das wilde Leben,2007-02-01,0,957744
The Day After Tomorrow,2004-05-26,125000000,552639571
Die Weihnachtswette,2007-12-10,0,0
Bloodsuckers,2005-07-30,1700000,0
Cet obscur objet du désir,1977-08-17,0,0
Gone in Sixty Seconds,2000-06-09,90000000,237202299
The Devil's Own,1997-03-13,90000000,140807547
Indecent Proposal,1993-04-07,38000000,266614059
Rise: Blood Hunter,2007-04-28,0,2850927
Love Is the Devil: Study for a Portrait of Francis Bacon,1998-09-16,0,0
Making Frankensense of Young Frankenstein,1996-01-01,0,0
I Hired a Contract Killer,1990-10-12,0,0
Torrente 2: Misión en Marbella,2001-03-30,0,0
Howards End,1992-03-13,8000000,26126837
Ninotchka,1939-11-23,1365000,2279000
Deed Poll,2004-12-05,4500,0
Ali,2001-12-10,107000000,87713825
リターナー,2002-08-31,0,73060
Lonesome Jim,2005-11-16,0,0
"Profils Paysans, Chapitre 3: La vie moderne",2008-10-27,0,0
Le Charme discret de la bourgeoisie,1972-09-15,800000,0
Intolerance: Love's Struggle Throughout the Ages,1916-09-04,385907,1750000
The Godfather Part III,1990-12-25,54000000,136766062
Space Cowboys,2000-08-04,65000000,128884132
The Comeback,1980-05-12,0,0
The Woodsman,2004-12-24,0,4678405
The Day After Tomorrow,2004-05-26,125000000,552639571
Galaxy Quest,1999-12-25,45000000,90683916
Cannibal Holocaust,1980-02-07,100000,0
Das letzte Stück Himmel,2007-08-17,0,0
Immortel (ad vitam),2004-03-13,24665810,0
The Pledge,2001-01-19,35000000,29419291
Sin City,2005-04-01,40000000,158733820
It Happened at the World's Fair,1963-04-03,0,0
Rush Hour 2,2001-08-03,90000000,347325802
"Il buono, il brutto, il cattivo",1966-12-23,1200000,38900000
The Bounty,1984-05-04,25000000,8613462
Die blonde Christl,1933-02-10,0,0
Die klugen Dinge,1973-12-30,0,0
Venom,2005-09-16,0,881779
Blondie's Secret,1948-12-23,0,0
Star Trek: Nemesis,2002-12-13,60000000,67312826
The Postman,1997-12-25,80000000,17626234
Velvet Goldmine,1998-08-28,0,4313644
Il mio nome è Nessuno,1973-12-13,0,0
The Count,1916-09-04,0,0
滿城盡帶黃金甲,2006-12-14,45000000,78568977
Mercury Rising,1998-04-03,60000000,93107289
Thunderbolt and Lightfoot,1974-05-23,4000000,25000000
Punch-Drunk Love,2002-10-25,25000000,24665649
Die Siebtelbauern,1998-06-19,0,0
Edgar Wallace - Der schwarze Abt,1963-07-05,0,0
Le Pacte des loups,2001-01-31,29000000,70752904
The Bridges of Madison County,1995-06-02,24000000,182016617
Das Inferno - Flammen über Berlin,2007-05-21,0,0
