,ID,Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue,Runtime,Title
17,16888,24000000,[35],['Comedy'],tt0213790,[2822],['SNL Studios'],2000-10-13,13700000,84,The Ladies Man
75,10471,11000000,[35],['Comedy'],tt0195945,[12],['New Line Cinema'],2000-01-12,59827328,98,Next Friday
176,16110,19000000,"[16, 18, 10751]","['Animation', 'Drama', 'Family']",tt0205461,"[2268, 37618, 769, 141476]","['Isle of Man Film', 'Britt Allcroft Productions', 'Destination Films', 'Gullane Pictures']",2000-07-14,19748009,84,Thomas and the Magic Railroad
182,161,85000000,"[53, 80]","['Thriller', 'Crime']",tt0240772,"[79, 172, 2596, 129, 174]","['Village Roadshow Pictures', 'NPV Entertainment', 'Jerry Weintraub Productions', 'Section Eight', 'Warner Bros. Pictures']",2001-12-07,450717150,116,Ocean's Eleven
208,824,52500000,"[18, 10749, 10402]","['Drama', 'Romance', 'Music']",tt0203009,"[25, 240]","['20th Century Fox', 'Bazmark Films']",2001-05-24,179213434,128,Moulin Rouge!
232,58904,0,"[27, 53]","['Horror', 'Thriller']",tt0278475,[],[],2001-02-23,13651656,38,Haunted Castle
237,9816,13000000,"[18, 10751, 10749, 10402]","['Drama', 'Family', 'Romance', 'Music']",tt0206275,"[746, 53673]","['MTV Films', 'Cort/Madden Productions']",2001-01-12,131706809,113,Save the Last Dance
242,9896,48000000,"[12, 35]","['Adventure', 'Comedy']",tt0250687,"[3857, 4, 11462, 19814]","['Fireworks Pictures', 'Paramount', 'Alphaville Films', 'Zucker Productions']",2001-08-17,85498534,112,Rat Race
250,10054,35000000,"[28, 35, 10751, 12]","['Action', 'Comedy', 'Family', 'Adventure']",tt0227538,"[10807, 7405, 14]","['Troublemaker Studios', 'Dimension Films', 'Miramax']",2001-03-18,147934180,88,Spy Kids
282,10833,35000000,"[35, 10749, 80]","['Comedy', 'Romance', 'Crime']",tt0125022,"[1302, 21]","['Davis Entertainment', 'Metro-Goldwyn-Mayer']",2001-03-23,57756408,123,Heartbreakers
516,200709,0,"[878, 14, 28, 35, 27]","['Science Fiction', 'Fantasy', 'Action', 'Comedy', 'Horror']",tt0185936,[29812],['Telescene Film Group Productions'],2002-02-19,3400000,94,Matthew Blackheart: Monster Smasher
