ID,Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue,Runtime,Title
75586,0,"[18, 99]","['Drama', 'Documentary']",tt0099129,[],[],6/6/10,0,59,Between 2 Worlds
642058,0,[16],['Animation'],tt0102088,[8136],['MTV'],1/29/10,0,1,I Met a Man
73820,0,"[35, 18, 27]","['Comedy', 'Drama', 'Horror']",tt0200641,"[50234, 50235]","['Quarter Moon Films', 'Dagger Productions']",1/5/10,0,90,Flexing with Monty
434238,0,"[10751, 35, 10402, 14, 10770]","['Family', 'Comedy', 'Music', 'Fantasy', 'TV Movie']",tt0284783,[],[],1/1/10,0,56,Slava's Snowshow
112074,4000000,[35],['Comedy'],tt0285252,"[177690, 85165]","['Bronx Born Films', 'Miracle Entertainment']",1/1/10,0,100,Life's a Beach
331998,0,[99],['Documentary'],tt0297916,[146071],['Agita Productions Inc.'],1/1/10,0,28,Edie: Girl on Fire
40048,0,"[53, 9648, 18]","['Thriller', 'Mystery', 'Drama']",tt0326965,[],[],4/23/10,0,90,In My Sleep
214026,0,[],[],tt0331312,[],[],1/1/10,0,0,This Wretched Life
44993,0,[18],['Drama'],tt0338187,[],[],2/19/10,6607,0,The Last New Yorker
246181,0,[99],['Documentary'],tt0367196,[],[],5/5/10,0,58,Valentina Igoshina Plays Chopin
62601,0,[],[],tt0370451,[],[],6/27/10,0,26,Death of a Nation
32407,0,"[14, 18, 12]","['Fantasy', 'Drama', 'Adventure']",tt0374853,[5201],['Mark Williams Films'],2/5/10,0,87,Malice in Wonderland
177672,0,"[28, 9648, 12]","['Action', 'Mystery', 'Adventure']",tt0390197,"[68868, 68866, 68869]","['The Ilya Salkind Company', 'El Adl Film Production', 'The Final Cut']",12/1/10,0,90,Young Alexander the Great
324352,300000,"[10749, 35, 18]","['Romance', 'Comedy', 'Drama']",tt0393049,[46102],['Illumination Pictures'],5/20/10,0,98,Anderson's Cross
38757,260000000,"[16, 10751]","['Animation', 'Family']",tt0398286,"[6125, 2]","['Walt Disney Animation Studios', 'Walt Disney Pictures']",11/24/10,592461732,100,Tangled
42194,30000000,"[80, 18, 28, 53, 878]","['Crime', 'Drama', 'Action', 'Thriller', 'Science Fiction']",tt0411951,"[5882, 5883]","['Namco', 'Light Song Films']",3/20/10,967000,92,Tekken
200094,0,"[53, 9648, 80, 878]","['Thriller', 'Mystery', 'Crime', 'Science Fiction']",tt0419692,[85158],['Dreamscape Cinema'],8/6/10,0,112,Disconnect
68716,0,"[28, 35]","['Action', 'Comedy']",tt0423474,"[7674, 7675]","['PasoFino Entertainment', 'Luis Moro Productions']",11/1/10,0,95,Venus & Vegas
38778,69000000,[35],['Comedy'],tt0427152,"[2242, 4, 158, 11084, 7, 7294]","['Everyman Pictures', 'Paramount', 'Spyglass Entertainment', 'Parkes/MacDonald Productions', 'DreamWorks Pictures', 'Reliance Entertainment']",7/30/10,86387857,114,Dinner for Schmucks
34544,110000000,"[53, 28, 12, 35, 80]","['Thriller', 'Action', 'Adventure', 'Comedy', 'Crime']",tt0429493,"[10908, 444, 5585, 2528, 1645, 10893, 25, 290]","['Phoenix Film Partners', 'Dune Entertainment', 'Stephen J. Cannell Productions', 'Top Cow Productions', 'Scott Free Productions', 'Big Screen Productions', '20th Century Fox', 'Ingenious Media']",6/9/10,177238796,117,The A-Team
10193,200000000,"[16, 10751, 35]","['Animation', 'Family', 'Comedy']",tt0435761,"[3, 2]","['Pixar', 'Walt Disney Pictures']",6/16/10,1066969703,103,Toy Story 3
22538,85000000,"[28, 35, 10749]","['Action', 'Comedy', 'Romance']",tt0446029,"[2527, 443, 87733, 1778]","['Marc Platt Productions', 'Big Talk Productions', 'Closed on Mondays Entertainment', 'dentsu']",8/12/10,48000000,113,Scott Pilgrim vs. the World
42765,0,"[18, 35]","['Drama', 'Comedy']",tt0449005,[],[],6/28/10,0,92,Diary of a Bad Lad
185200,0,[18],['Drama'],tt0451108,[],[],2/2/10,0,98,Mad World
29427,20000000,"[9648, 27, 28]","['Mystery', 'Horror', 'Action']",tt0455407,"[4916, 6735, 12807, 6736, 838]","['Penn Station Entertainment', 'Participant', 'Overture Films', 'Imagenation Abu Dhabi FZ', 'Paramount Vantage']",2/26/10,54956140,101,The Crazies
76820,0,[18],['Drama'],tt0460778,"[38532, 38533]","['Left Bank Films', 'Drunkboat Chicago LLC']",10/8/10,0,98,Drunkboat
43593,24000000,"[35, 27]","['Comedy', 'Horror']",tt0464154,"[2995, 7332, 7405, 18524, 22596]","['Atmosphere Entertainment MM', 'Chako Film Company', 'Dimension Films', 'Intellectual Properties Worldwide', 'Aja / Levasseur Productions']",8/20/10,83188165,88,Piranha 3D
39028,0,"[35, 18]","['Comedy', 'Drama']",tt0469094,[120074],['Mira Productions'],2/12/10,0,82,Harlem Hostel
9543,200000000,"[12, 14, 28]","['Adventure', 'Fantasy', 'Action']",tt0473075,"[2, 130]","['Walt Disney Pictures', 'Jerry Bruckheimer Films']",5/19/10,336365676,116,Prince of Persia: The Sands of Time
35153,4500000,"[53, 28, 12]","['Thriller', 'Action', 'Adventure']",tt0473364,"[5529, 5530]","['Heavy Productions', 'Contraption Limited']",4/8/10,0,102,The Heavy
271212,0,[35],['Comedy'],tt0476023,[124622],['Mavex Productions'],1/1/10,0,104,Stiffs
370061,0,[],[],tt0476847,[],[],11/26/10,0,0,Raakh
44048,100000000,"[28, 53]","['Action', 'Thriller']",tt0477080,"[19776, 1645, 1838, 19777, 25]","['Prospect Park', 'Scott Free Productions', 'Firm Films', 'Millbrook Farm Productions', '20th Century Fox']",11/4/10,167805466,98,Unstoppable
125583,24,[18],['Drama'],tt0479051,[],[],7/6/10,0,60,The Greater Meaning of Water
36604,0,"[27, 53]","['Horror', 'Thriller']",tt0479204,[],[],4/27/10,0,98,Perfect Life
34813,25000000,"[28, 12, 80, 9648, 53]","['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",tt0480255,"[1786, 433, 174, 165407]","['Dark Castle Entertainment', 'Weed Road Pictures', 'Warner Bros. Pictures', 'DC Vertigo']",4/23/10,23580000,97,The Losers
292962,0,[],[],tt0480904,[],[],8/20/10,0,0,Hiding Divya
44594,0,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']",tt0482461,"[8820, 9039, 8871, 9038]","['Prospect Pictures', ""Stick 'N' Stone Productions"", 'Corner Store Entertainment', 'Far Hills Pictures']",3/13/10,0,95,Barry Munday
51597,0,[18],['Drama'],tt0483586,"[95584, 2217]","['Velocity Pictures', 'Pretty Dangerous Films']",7/16/10,0,115,Chasing 3000
327674,0,[27],['Horror'],tt0490236,[50242],['Dark Portal LLC'],1/1/10,0,95,The Invited
35169,35000000,"[10751, 35, 14]","['Family', 'Comedy', 'Fantasy']",tt0492389,[3929],['Robert Simonds Productions'],4/30/10,36236710,92,Furry Vengeance
38843,15000000,"[35, 10751]","['Comedy', 'Family']",tt0493949,"[444, 813]","['Dune Entertainment', 'Di Novi Pictures']",7/23/10,27293743,103,Ramona and Beezus
313301,0,[],[],tt0494229,[],[],1/1/10,0,0,Good Sharma
48376,0,"[35, 99]","['Comedy', 'Documentary']",tt0494826,[7890],['Sirk Productions'],3/12/10,0,93,Severe Clear
78458,0,[99],['Documentary'],tt0635619,[],[],3/8/10,0,86,Survival Of The Hitman
53079,0,"[99, 10402]","['Documentary', 'Music']",tt0756727,"[8749, 8748]","['LSL Productions', 'Authorized Pictures']",10/26/10,28200,116,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?)
43347,30000000,"[18, 35, 10749]","['Drama', 'Comedy', 'Romance']",tt0758752,"[711, 508, 10104, 4403, 348, 444, 25]","['Fox 2000 Pictures', 'Regency Enterprises', 'New Regency Pictures', 'Stuber Productions', 'Bedford Falls Productions', 'Dune Entertainment', '20th Century Fox']",11/22/10,102820008,112,Love & Other Drugs
108661,0,[99],['Documentary'],tt0765057,"[76632, 87354, 10473]","['Primitive Entertainment', 'Films à Trois', 'ONF | NFB']",2/4/10,0,0,Four Wings and a Prayer
36970,0,"[99, 10751]","['Documentary', 'Family']",tt0765128,"[4436, 6586, 6735, 19267, 20346, 33250, 33251, 33252, 33253, 33254, 33255, 310, 104, 591, 83, 7131, 793, 7981, 1937, 311, 309, 4436]","['Disneynature', 'TPS Star', 'Participant', 'Conseil Régional du Calvados', 'Région Bretagne', 'Ministère du Développement Durable et de la Mer', 'JMH-TSR', 'HH Sheikha Salama bint Hamdan Al Nahyan', ""Conseil Général des Côtes d'Armor"", 'Conseil Général du Morbihan', 'Région Basse-Normandie', 'CNC', 'Canal+', 'France 3 Cinéma', 'France 2 Cinéma', 'France Télévisions', 'Galatée Films', 'Pathé', 'Notro Films', 'PROCIREP', 'Angoa-Agicoa', 'Disneynature']",1/22/10,19406406,84,Oceans
56672,25400000,"[14, 16, 10751]","['Fantasy', 'Animation', 'Family']",tt0765465,"[113731, 113732, 113733, 113734, 113735]","['JC2 Animated Entertainment', 'Lords Productions', 'Strategic Dreamers', '310 Studios', 'Arkwatch Holdings']",10/14/10,0,92,The Legend of Secret Pass
47853,2500000,"[28, 12, 53]","['Action', 'Adventure', 'Thriller']",tt0770778,[80813],['Freedom Reign Productions'],9/17/10,0,83,King of the Avenue
