,Running Time,Genres,Title,Revenue,IMDB ID,Earliest Release Date,Domestic Distributor,Domestic Opening,MPAA,Budget
0,58 min,Documentary,Between Two Worlds (1990),{},tt0099129,,,,,
1,1 min,Animation Short,I Met a Man (1991),{},tt0102088,,,,,
2,1 hr 30 min,Comedy Drama Horror Mystery,Flexing with Monty (2010),{},tt0200641,,,,,
3,56 min,Comedy Musical,Slava's Snowshow (2001),"{'Domestic': 29493, 'International': 29493}",tt0284783,"June 28, 2012 (Russia/CIS)",,,,
4,1 hr 40 min,Comedy,Bachelor Trip (2012),{},tt0285252,,,,,
5,28 min,Short,Edie: Girl on Fire (2010),{},tt0297916,,,,,
6,1 hr 44 min,Drama Mystery Thriller,In My Sleep (2010),"{'Domestic': 30158, 'International': 30158}",tt0326965,"April 23, 2010 (Domestic)",Morning Star Pictures,9285.0,PG-13,
7,1 hr 39 min,Comedy Drama,This Wretched Life (2010),{},tt0331312,,,,,
8,1 hr 30 min,Drama,The Last New Yorker (2007),{},tt0338187,,,,,
9,58 min,Documentary,Valentina Igoshina Plays Chopin (1999),{},tt0367196,,,,,
10,26 min,Drama Music Short War,Death of a Nation (2010),{},tt0370451,,,,,
11,1 hr 27 min,Adventure Drama Fantasy Mystery Thriller,Malice in Wonderland (2009),{},tt0374853,,,,R,
12,1 hr 30 min,Action Adventure Mystery,Young Alexander the Great (2010),{},tt0390197,,,,,
13,1 hr 38 min,Comedy Drama Romance,Anderson's Cross (2010),{},tt0393049,,,,R,
14,1 hr 40 min,Adventure Animation Comedy Family Fantasy Musical Romance,Tangled (2010),"{'Domestic': 200821936, 'International': 391640880, 'Worldwide': 592462816}",tt0398286,"November 24, 2010 (Domestic)",Walt Disney Studios Motion Pictures,48767052.0,PG,260000000.0
15,1 hr 31 min,Action Crime Drama Sci-Fi Thriller,Tekken (2010),"{'Domestic': 1697207, 'International': 1697207}",tt0411951,"July 29, 2010 (Singapore)",Screen Gems,,R,
16,1 hr 52 min,Drama Mystery Sci-Fi Thriller,Disconnect (2010),{},tt0419692,,,,,
17,1 hr 35 min,Action Comedy Crime,Venus & Vegas (2010),{},tt0423474,,,,R,
18,1 hr 54 min,Comedy,Dinner for Schmucks (2010),"{'Domestic': 73026337, 'International': 13829402, 'Worldwide': 86855739}",tt0427152,"July 30, 2010 (Domestic)",DreamWorks,23527839.0,PG-13,69000000.0
19,1 hr 57 min,Action Adventure Crime Thriller,The A-Team (2010),"{'Domestic': 77222099, 'International': 100016697, 'Worldwide': 177238796}",tt0429493,"June 9, 2010 (EMEA)",Twentieth Century Fox,25669455.0,PG-13,110000000.0
20,1 hr 43 min,Adventure Animation Comedy Family Fantasy,Toy Story 3 (2010),"{'Domestic': 415004880, 'International': 652311221, 'Worldwide': 1067316101}",tt0435761,"June 16, 2010 (Egypt)",Walt Disney Studios Motion Pictures,110307189.0,,200000000.0
21,1 hr 52 min,Action Comedy Fantasy Romance,Scott Pilgrim vs. the World (2010),"{'Domestic': 33281690, 'International': 16140284, 'Worldwide': 49421974}",tt0446029,"August 12, 2010 (APAC)",Universal Pictures,10609795.0,PG-13,60000000.0
22,1 hr 32 min,Comedy Crime,Diary of a Bad Lad (2010),{},tt0449005,,,,,
23,1 hr 38 min,Drama,Mad World (2010),{},tt0451108,,,,,
24,1 hr 41 min,Horror Thriller,The Crazies (2010),"{'Domestic': 39123589, 'International': 15683234, 'Worldwide': 54806823}",tt0455407,"February 26, 2010 (Domestic, EMEA)",Overture Films,16067552.0,R,20000000.0
25,1 hr 38 min,Drama,Drunkboat (2010),{},tt0460778,,,,,
26,1 hr 28 min,Comedy Horror,Piranha 3D (2010),"{'Domestic': 25003155, 'International': 58185010, 'Worldwide': 83188165}",tt0464154,"August 20, 2010 (Domestic, EMEA)",Dimension Films,10106872.0,R,24000000.0
27,1 hr 21 min,Comedy Drama,Harlem Hostel (2010),{},tt0469094,,,,,
28,1 hr 56 min,Action Adventure Fantasy,Prince of Persia: The Sands of Time (2010),"{'Domestic': 90759676, 'International': 245606000, 'Worldwide': 336365676}",tt0473075,"July 16, 2009 (Australia)",Walt Disney Studios Motion Pictures,30095259.0,PG-13,200000000.0
29,1 hr 42 min,Thriller,The Heavy (2009),{},tt0473364,,,,R,
30,1 hr 44 min,Comedy,Stiffs (2010),{},tt0476023,,,,R,
31,1 hr 53 min,Action Crime Drama Thriller,Raakh: A Poem Masked in Blood (2007),{},tt0476847,,,,,
32,1 hr 38 min,Action Thriller,Unstoppable (2010),"{'Domestic': 81562942, 'International': 86242524, 'Worldwide': 167805466}",tt0477080,"November 10, 2010 (7 markets)",Twentieth Century Fox,22688457.0,PG-13,100000000.0
33,1 hr,Drama Sport,The Greater Meaning of Water (2010),{},tt0479051,,,,,
34,1 hr 38 min,Horror Thriller,Perfect Life (2010),{},tt0479204,,,,R,
35,1 hr 37 min,Action Adventure Comedy Crime Mystery Thriller,The Losers (2010),"{'Domestic': 23591432, 'International': 5806222, 'Worldwide': 29397654}",tt0480255,"April 22, 2010 (Malaysia)",Warner Bros.,9406348.0,PG-13,25000000.0
36,1 hr 28 min,Drama,Hiding Divya (2006),{},tt0480904,"August 20, 2010 (Domestic)",Net Effect Media,,,
37,1 hr 35 min,Comedy Drama Romance,Barry Munday (2010),{},tt0482461,"October 1, 2010 (Domestic)",Magnolia Pictures,,R,
38,1 hr 55 min,Family Sport,Chasing 3000 (2010),{},tt0483586,,,,,
39,1 hr 35 min,Horror Thriller,The Invited (2010),{},tt0490236,,,,,
40,1 hr 32 min,Comedy Family,Furry Vengeance (2010),"{'Domestic': 17630465, 'International': 18721480, 'Worldwide': 36351945}",tt0492389,"April 29, 2010 (Russia/CIS)",Summit Entertainment,6627564.0,PG,35000000.0
41,1 hr 44 min,Comedy Drama Family Fantasy,Ramona and Beezus (2010),"{'Domestic': 26167002, 'International': 1126741, 'Worldwide': 27293743}",tt0493949,"March 18, 2010 (Czech Republic)",Twentieth Century Fox,7810481.0,,15000000.0
42,1 hr 40 min,Drama,Good Sharma (2010),{},tt0494229,,,,,
43,1 hr 33 min,Documentary,Severe Clear (2009),{},tt0494826,,,,,
44,46 min,Western,Snowbound (1995),{},tt0635619,,,,,
45,1 hr 56 min,Biography Documentary Music,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?) (2010),"{'Domestic': 30975, 'International': 30975}",tt0756727,"September 10, 2010 (Domestic)",Lorber Films,6078.0,,
46,1 hr 52 min,Comedy Drama Romance,Love & Other Drugs (2010),"{'Domestic': 32367005, 'International': 70453003, 'Worldwide': 102820008}",tt0758752,"November 24, 2010 (Domestic)",Twentieth Century Fox,9739161.0,R,30000000.0
47,1 hr 23 min,Documentary,Four Wings and a Prayer (2007),{},tt0765057,,,,,
48,1 hr 44 min,Documentary,Oceans (2009),"{'Domestic': 19422319, 'International': 63668237, 'Worldwide': 83090556}",tt0765128,"January 22, 2010 (Japan)",Walt Disney Studios Motion Pictures,6058958.0,,80000000.0
49,1 hr 32 min,Animation Family Fantasy,The Legend of Secret Pass (2010),{},tt0765465,,,,,
50,1 hr 23 min,Drama Fantasy Thriller,King of the Avenue (2010),{},tt0770778,,,,R,
51,1 hr 30 min,Drama Romance,Night Catches Us (2010),"{'Domestic': 76185, 'International': 76185}",tt0775543,"December 3, 2010 (Domestic)",Magnolia Pictures,13562.0,R,
