Running Time,Genres,Title_x,IMDB ID,Earliest Release Date,Domestic Distributor,Domestic Opening,MPAA,Budget_x,ID,Budget_y,Genre ID,Genre Name,Production Company ID,Production Company Name,Release Date,Revenue_y,Runtime,Title_y,Release Year,domestic_revenue,international_revenue,worldwide_revenue,Merged Budget,Merged Revenue
56 min,Comedy Musical,Slava's Snowshow (2001),tt0284783,"June 28, 2012 (Russia/CIS)",,,,0,434238,0,"[10751, 35, 10402, 14, 10770]","['Family', 'Comedy', 'Music', 'Fantasy', 'TV Movie']",[],[],1/1/10,0,56,Slava's Snowshow,2010,29493,29493,,100000,29493
1 hr 44 min,Drama Mystery Thriller,In My Sleep (2010),tt0326965,"April 23, 2010 (Domestic)",Morning Star Pictures,9285,PG-13,0,40048,0,"[53, 9648, 18]","['Thriller', 'Mystery', 'Drama']",[],[],4/23/10,0,90,In My Sleep,2010,30158,30158,,100000,30158
1 hr 30 min,Drama,The Last New Yorker (2007),tt0338187,,,,,0,44993,0,[18],['Drama'],[],[],2/19/10,6607,0,The Last New Yorker,2010,0,,,100000,6607
1 hr 40 min,Adventure Animation Comedy Family Fantasy Musical Romance,Tangled (2010),tt0398286,"November 24, 2010 (Domestic)",Walt Disney Studios Motion Pictures,48767052,PG,260000000,38757,260000000,"[16, 10751]","['Animation', 'Family']","[6125, 2]","['Walt Disney Animation Studios', 'Walt Disney Pictures']",11/24/10,592461732,100,Tangled,2010,200821936,391640880,592462816,260000000,200821936
1 hr 31 min,Action Crime Drama Sci-Fi Thriller,Tekken (2010),tt0411951,"July 29, 2010 (Singapore)",Screen Gems,,R,0,42194,30000000,"[80, 18, 28, 53, 878]","['Crime', 'Drama', 'Action', 'Thriller', 'Science Fiction']","[5882, 5883]","['Namco', 'Light Song Films']",3/20/10,967000,92,Tekken,2010,1697207,1697207,,30000000,1697207
1 hr 54 min,Comedy,Dinner for Schmucks (2010),tt0427152,"July 30, 2010 (Domestic)",DreamWorks,23527839,PG-13,69000000,38778,69000000,[35],['Comedy'],"[2242, 4, 158, 11084, 7, 7294]","['Everyman Pictures', 'Paramount', 'Spyglass Entertainment', 'Parkes/MacDonald Productions', 'DreamWorks Pictures', 'Reliance Entertainment']",7/30/10,86387857,114,Dinner for Schmucks,2010,73026337,13829402,86855739,69000000,73026337
1 hr 57 min,Action Adventure Crime Thriller,The A-Team (2010),tt0429493,"June 9, 2010 (EMEA)",Twentieth Century Fox,25669455,PG-13,110000000,34544,110000000,"[53, 28, 12, 35, 80]","['Thriller', 'Action', 'Adventure', 'Comedy', 'Crime']","[10908, 444, 5585, 2528, 1645, 10893, 25, 290]","['Phoenix Film Partners', 'Dune Entertainment', 'Stephen J. Cannell Productions', 'Top Cow Productions', 'Scott Free Productions', 'Big Screen Productions', '20th Century Fox', 'Ingenious Media']",6/9/10,177238796,117,The A-Team,2010,77222099,100016697,177238796,110000000,77222099
1 hr 43 min,Adventure Animation Comedy Family Fantasy,Toy Story 3 (2010),tt0435761,"June 16, 2010 (Egypt)",Walt Disney Studios Motion Pictures,110307189,,200000000,10193,200000000,"[16, 10751, 35]","['Animation', 'Family', 'Comedy']","[3, 2]","['Pixar', 'Walt Disney Pictures']",6/16/10,1066969703,103,Toy Story 3,2010,415004880,652311221,1067316101,200000000,415004880
1 hr 52 min,Action Comedy Fantasy Romance,Scott Pilgrim vs. the World (2010),tt0446029,"August 12, 2010 (APAC)",Universal Pictures,10609795,PG-13,60000000,22538,85000000,"[28, 35, 10749]","['Action', 'Comedy', 'Romance']","[2527, 443, 87733, 1778]","['Marc Platt Productions', 'Big Talk Productions', 'Closed on Mondays Entertainment', 'dentsu']",8/12/10,48000000,113,Scott Pilgrim vs. the World,2010,33281690,16140284,49421974,60000000,33281690
1 hr 41 min,Horror Thriller,The Crazies (2010),tt0455407,"February 26, 2010 (Domestic, EMEA)",Overture Films,16067552,R,20000000,29427,20000000,"[9648, 27, 28]","['Mystery', 'Horror', 'Action']","[4916, 6735, 12807, 6736, 838]","['Penn Station Entertainment', 'Participant', 'Overture Films', 'Imagenation Abu Dhabi FZ', 'Paramount Vantage']",2/26/10,54956140,101,The Crazies,2010,39123589,15683234,54806823,20000000,39123589
1 hr 28 min,Comedy Horror,Piranha 3D (2010),tt0464154,"August 20, 2010 (Domestic, EMEA)",Dimension Films,10106872,R,24000000,43593,24000000,"[35, 27]","['Comedy', 'Horror']","[2995, 7332, 7405, 18524, 22596]","['Atmosphere Entertainment MM', 'Chako Film Company', 'Dimension Films', 'Intellectual Properties Worldwide', 'Aja / Levasseur Productions']",8/20/10,83188165,88,Piranha 3D,2010,25003155,58185010,83188165,24000000,25003155
1 hr 56 min,Action Adventure Fantasy,Prince of Persia: The Sands of Time (2010),tt0473075,"July 16, 2009 (Australia)",Walt Disney Studios Motion Pictures,30095259,PG-13,200000000,9543,200000000,"[12, 14, 28]","['Adventure', 'Fantasy', 'Action']","[2, 130]","['Walt Disney Pictures', 'Jerry Bruckheimer Films']",5/19/10,336365676,116,Prince of Persia: The Sands of Time,2010,90759676,245606000,336365676,200000000,90759676
1 hr 38 min,Action Thriller,Unstoppable (2010),tt0477080,"November 10, 2010 (7 markets)",Twentieth Century Fox,22688457,PG-13,100000000,44048,100000000,"[28, 53]","['Action', 'Thriller']","[19776, 1645, 1838, 19777, 25]","['Prospect Park', 'Scott Free Productions', 'Firm Films', 'Millbrook Farm Productions', '20th Century Fox']",11/4/10,167805466,98,Unstoppable,2010,81562942,86242524,167805466,100000000,81562942
1 hr 37 min,Action Adventure Comedy Crime Mystery Thriller,The Losers (2010),tt0480255,"April 22, 2010 (Malaysia)",Warner Bros.,9406348,PG-13,25000000,34813,25000000,"[28, 12, 80, 9648, 53]","['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']","[1786, 433, 174, 165407]","['Dark Castle Entertainment', 'Weed Road Pictures', 'Warner Bros. Pictures', 'DC Vertigo']",4/23/10,23580000,97,The Losers,2010,23591432,5806222,29397654,25000000,23591432
