,Unnamed: 0.1,Unnamed: 0,Running Time,Genres,Title_x,Revenue_x,IMDB ID,Earliest Release Date,Domestic Distributor,Domestic Opening,MPAA,Budget_x,ID,Budget_y,Genre ID,Genre Name,Production Company ID,Production Company Name,Release Date,Revenue_y,Runtime,Title_y,Release Year
0,0,0,58 min,Documentary,Between Two Worlds (1990),{},tt0099129,,,,,,75586,0,"[18, 99]","['Drama', 'Documentary']",[],[],6/6/10,0,59,Between 2 Worlds,2010
1,1,1,1 min,Animation Short,I Met a Man (1991),{},tt0102088,,,,,,642058,0,[16],['Animation'],[8136],['MTV'],1/29/10,0,1,I Met a Man,2010
2,2,2,1 hr 30 min,Comedy Drama Horror Mystery,Flexing with Monty (2010),{},tt0200641,,,,,,73820,0,"[35, 18, 27]","['Comedy', 'Drama', 'Horror']","[50234, 50235]","['Quarter Moon Films', 'Dagger Productions']",1/5/10,0,90,Flexing with Monty,2010
3,3,3,56 min,Comedy Musical,Slava's Snowshow (2001),"{'Domestic': 29493, 'International': 29493}",tt0284783,"June 28, 2012 (Russia/CIS)",,,,,434238,0,"[10751, 35, 10402, 14, 10770]","['Family', 'Comedy', 'Music', 'Fantasy', 'TV Movie']",[],[],1/1/10,0,56,Slava's Snowshow,2010
4,4,4,1 hr 40 min,Comedy,Bachelor Trip (2012),{},tt0285252,,,,,,112074,4000000,[35],['Comedy'],"[177690, 85165]","['Bronx Born Films', 'Miracle Entertainment']",1/1/10,0,100,Life's a Beach,2010
5,5,5,28 min,Short,Edie: Girl on Fire (2010),{},tt0297916,,,,,,331998,0,[99],['Documentary'],[146071],['Agita Productions Inc.'],1/1/10,0,28,Edie: Girl on Fire,2010
6,6,6,1 hr 44 min,Drama Mystery Thriller,In My Sleep (2010),"{'Domestic': 30158, 'International': 30158}",tt0326965,"April 23, 2010 (Domestic)",Morning Star Pictures,9285.0,PG-13,,40048,0,"[53, 9648, 18]","['Thriller', 'Mystery', 'Drama']",[],[],4/23/10,0,90,In My Sleep,2010
7,7,7,1 hr 39 min,Comedy Drama,This Wretched Life (2010),{},tt0331312,,,,,,214026,0,[],[],[],[],1/1/10,0,0,This Wretched Life,2010
8,8,8,1 hr 30 min,Drama,The Last New Yorker (2007),{},tt0338187,,,,,,44993,0,[18],['Drama'],[],[],2/19/10,6607,0,The Last New Yorker,2010
9,9,9,58 min,Documentary,Valentina Igoshina Plays Chopin (1999),{},tt0367196,,,,,,246181,0,[99],['Documentary'],[],[],5/5/10,0,58,Valentina Igoshina Plays Chopin,2010
10,10,10,26 min,Drama Music Short War,Death of a Nation (2010),{},tt0370451,,,,,,62601,0,[],[],[],[],6/27/10,0,26,Death of a Nation,2010
11,11,11,1 hr 27 min,Adventure Drama Fantasy Mystery Thriller,Malice in Wonderland (2009),{},tt0374853,,,,R,,32407,0,"[14, 18, 12]","['Fantasy', 'Drama', 'Adventure']",[5201],['Mark Williams Films'],2/5/10,0,87,Malice in Wonderland,2010
12,12,12,1 hr 30 min,Action Adventure Mystery,Young Alexander the Great (2010),{},tt0390197,,,,,,177672,0,"[28, 9648, 12]","['Action', 'Mystery', 'Adventure']","[68868, 68866, 68869]","['The Ilya Salkind Company', 'El Adl Film Production', 'The Final Cut']",12/1/10,0,90,Young Alexander the Great,2010
13,13,13,1 hr 38 min,Comedy Drama Romance,Anderson's Cross (2010),{},tt0393049,,,,R,,324352,300000,"[10749, 35, 18]","['Romance', 'Comedy', 'Drama']",[46102],['Illumination Pictures'],5/20/10,0,98,Anderson's Cross,2010
14,14,14,1 hr 40 min,Adventure Animation Comedy Family Fantasy Musical Romance,Tangled (2010),"{'Domestic': 200821936, 'International': 391640880, 'Worldwide': 592462816}",tt0398286,"November 24, 2010 (Domestic)",Walt Disney Studios Motion Pictures,48767052.0,PG,260000000.0,38757,260000000,"[16, 10751]","['Animation', 'Family']","[6125, 2]","['Walt Disney Animation Studios', 'Walt Disney Pictures']",11/24/10,592461732,100,Tangled,2010
15,15,15,1 hr 31 min,Action Crime Drama Sci-Fi Thriller,Tekken (2010),"{'Domestic': 1697207, 'International': 1697207}",tt0411951,"July 29, 2010 (Singapore)",Screen Gems,,R,,42194,30000000,"[80, 18, 28, 53, 878]","['Crime', 'Drama', 'Action', 'Thriller', 'Science Fiction']","[5882, 5883]","['Namco', 'Light Song Films']",3/20/10,967000,92,Tekken,2010
16,16,16,1 hr 52 min,Drama Mystery Sci-Fi Thriller,Disconnect (2010),{},tt0419692,,,,,,200094,0,"[53, 9648, 80, 878]","['Thriller', 'Mystery', 'Crime', 'Science Fiction']",[85158],['Dreamscape Cinema'],8/6/10,0,112,Disconnect,2010
17,17,17,1 hr 35 min,Action Comedy Crime,Venus & Vegas (2010),{},tt0423474,,,,R,,68716,0,"[28, 35]","['Action', 'Comedy']","[7674, 7675]","['PasoFino Entertainment', 'Luis Moro Productions']",11/1/10,0,95,Venus & Vegas,2010
18,18,18,1 hr 54 min,Comedy,Dinner for Schmucks (2010),"{'Domestic': 73026337, 'International': 13829402, 'Worldwide': 86855739}",tt0427152,"July 30, 2010 (Domestic)",DreamWorks,23527839.0,PG-13,69000000.0,38778,69000000,[35],['Comedy'],"[2242, 4, 158, 11084, 7, 7294]","['Everyman Pictures', 'Paramount', 'Spyglass Entertainment', 'Parkes/MacDonald Productions', 'DreamWorks Pictures', 'Reliance Entertainment']",7/30/10,86387857,114,Dinner for Schmucks,2010
19,19,19,1 hr 57 min,Action Adventure Crime Thriller,The A-Team (2010),"{'Domestic': 77222099, 'International': 100016697, 'Worldwide': 177238796}",tt0429493,"June 9, 2010 (EMEA)",Twentieth Century Fox,25669455.0,PG-13,110000000.0,34544,110000000,"[53, 28, 12, 35, 80]","['Thriller', 'Action', 'Adventure', 'Comedy', 'Crime']","[10908, 444, 5585, 2528, 1645, 10893, 25, 290]","['Phoenix Film Partners', 'Dune Entertainment', 'Stephen J. Cannell Productions', 'Top Cow Productions', 'Scott Free Productions', 'Big Screen Productions', '20th Century Fox', 'Ingenious Media']",6/9/10,177238796,117,The A-Team,2010
20,20,20,1 hr 43 min,Adventure Animation Comedy Family Fantasy,Toy Story 3 (2010),"{'Domestic': 415004880, 'International': 652311221, 'Worldwide': 1067316101}",tt0435761,"June 16, 2010 (Egypt)",Walt Disney Studios Motion Pictures,110307189.0,,200000000.0,10193,200000000,"[16, 10751, 35]","['Animation', 'Family', 'Comedy']","[3, 2]","['Pixar', 'Walt Disney Pictures']",6/16/10,1066969703,103,Toy Story 3,2010
21,21,21,1 hr 52 min,Action Comedy Fantasy Romance,Scott Pilgrim vs. the World (2010),"{'Domestic': 33281690, 'International': 16140284, 'Worldwide': 49421974}",tt0446029,"August 12, 2010 (APAC)",Universal Pictures,10609795.0,PG-13,60000000.0,22538,85000000,"[28, 35, 10749]","['Action', 'Comedy', 'Romance']","[2527, 443, 87733, 1778]","['Marc Platt Productions', 'Big Talk Productions', 'Closed on Mondays Entertainment', 'dentsu']",8/12/10,48000000,113,Scott Pilgrim vs. the World,2010
22,22,22,1 hr 32 min,Comedy Crime,Diary of a Bad Lad (2010),{},tt0449005,,,,,,42765,0,"[18, 35]","['Drama', 'Comedy']",[],[],6/28/10,0,92,Diary of a Bad Lad,2010
23,23,23,1 hr 38 min,Drama,Mad World (2010),{},tt0451108,,,,,,185200,0,[18],['Drama'],[],[],2/2/10,0,98,Mad World,2010
