ID,Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue,Runtime,Title
1179650,0,[18],['Drama'],tt1792088,[208813],['ROC Pictures'],2011-01-01,0,14,Infinity
557064,0,[],[],tt2190253,[],[],2011-01-01,0,17,The Ark
131081,0,[10402],['Music'],tt10936752,[],[],2011-10-25,0,224,Transatlantic: More Never Is Enough
163852,0,[],[],tt13216934,[],[],2011-01-01,0,51,Empire of Evil
262158,0,[99],['Documentary'],tt1956619,[],[],2011-06-04,0,76,Set the Piano Stool on Fire
262162,0,[],[],tt2676440,[],[],2011-01-20,0,114,MDMA
163860,0,[99],['Documentary'],tt2044064,[],[],2011-09-13,0,100,Fatherland
294966,0,"[53, 27]","['Thriller', 'Horror']",tt1990211,[5688],"[""Xi'an Qujian Film &  TV Investment Group Company""]",2011-07-01,0,90,The Devil Inside Me
753725,0,[99],['Documentary'],,[141879],['Nationsack Filmworks'],2011-01-01,0,10,Solar Flare Arkestral Marching Band
65599,0,"[18, 27]","['Drama', 'Horror']",tt1714208,[5574],['Modernciné'],2011-10-14,0,102,The Woman
950338,0,[],[],,[],[],2011-11-03,0,25,Azoreños
360515,0,[],[],,[],[],2011-09-19,0,12,Light Licks: By the Waters of Babylon: I Want to Paint It Black
852045,0,[99],['Documentary'],tt2381323,"[20121, 23367]","['Fiction FACTory Filmproduktion', 'Bavaria Media']",2011-09-18,0,60,Ted Kotcheff's Gourmet Cinema
1146967,0,"[16, 10751]","['Animation', 'Family']",,[],[],2011-12-20,0,2,Yo Gabba Gabba: To Give a Present
1179739,0,[],[],,[],[],2011-05-06,0,0,Nv Wang
819304,0,[99],['Documentary'],tt2149211,[3448],['ITV'],2011-12-09,0,65,The Nation's Favourite Bee Gees Song
65650,6000000,"[18, 53, 9648]","['Drama', 'Thriller', 'Mystery']",tt1582271,"[110680, 60711]","['Viddywell', 'Code Red']",2011-04-23,5206,93,The Good Doctor
229493,0,"[12, 35]","['Adventure', 'Comedy']",tt1695401,[],[],2011-10-01,0,8,The Incident
98429,0,[99],['Documentary'],tt2015486,[],[],2011-01-01,0,24,Snapshots From a Vacation or a Film Titled a Fine Balance
65664,0,"[18, 10749]","['Drama', 'Romance']",tt1776033,[4917],['Periscope Entertainment'],2011-06-24,0,0,A Love Affair of Sorts
524428,0,[],[],tt1833734,[],[],2011-02-17,0,82,Lightflight
131225,15000,[],[],tt1988841,[],[],2011-11-09,0,77,Yorktown
131245,0,[99],['Documentary'],tt1518255,[],[],2011-06-21,1486,94,Raw Faith
262320,0,"[27, 35]","['Horror', 'Comedy']",tt1356405,[],[],2011-09-04,0,95,The Midnight Disease
65754,90000000,"[53, 80, 9648]","['Thriller', 'Crime', 'Mystery']",tt1568346,"[47479, 5, 258, 8083, 21, 5746]","['Ground Control', 'Columbia Pictures', 'Scott Rudin Productions', 'Film Rites', 'Metro-Goldwyn-Mayer', 'Yellow Bird']",2011-12-14,232617430,158,The Girl with the Dragon Tattoo
98522,0,[],[],tt1592528,"[4333, 10473]","['Burns Film Ltd.', 'ONF | NFB']",2011-06-24,0,91,The Future Is Now!
98526,0,"[99, 18, 10751]","['Documentary', 'Drama', 'Family']",tt1772915,"[94976, 94979]","['Human Film', 'Iraq al-Rafidain']",2011-09-13,0,82,In My Mother's Arms
65759,130000000,"[16, 35, 10751]","['Animation', 'Comedy', 'Family']",tt1402488,"[28381, 13675, 2537, 174, 8089]","['Dr D Studios', 'Village Roadshow Entertainment', 'Kennedy Miller Productions', 'Warner Bros. Pictures', 'Animal Logic']",2011-11-17,150406466,100,Happy Feet Two
65762,0,"[35, 10749]","['Comedy', 'Romance']",tt1502420,"[1490, 133778, 63607, 141558]","['Kintop Pictures', 'Filmaka.com', 'StarLight Films', 'Serendipity Films']",2011-06-01,0,85,Swinging with the Finkels
98532,0,"[18, 35, 10749]","['Drama', 'Comedy', 'Romance']",tt1451632,[9225],['Blinder Films'],2011-11-04,0,108,Sensation
65767,0,[],[],,[],[],2011-12-01,0,593,MD: The Art of the Precision Rifle
131307,0,[99],['Documentary'],,[],[],2011-05-01,0,65,Alma
164077,0,[99],['Documentary'],tt2050498,"[3324, 34917]","['BBC', 'Blakeway Productions']",2011-11-13,0,60,"Dinosaurs, Myths and Monsters"
98549,0,"[37, 28, 12, 36]","['Western', 'Action', 'Adventure', 'History']",tt1220217,"[42037, 94551, 94552]","['Silver Sail Entertainment', '4Go West Productions', 'Flatiron Pictures']",2011-03-03,0,108,The Legend of Hell's Gate: An American Conspiracy
98551,0,[99],['Documentary'],tt1787810,[],[],2011-01-21,0,78,The Flaw
262392,0,[],[],tt1869297,[],[],2011-03-20,0,90,Bebe Zeva
98554,0,"[10770, 99]","['TV Movie', 'Documentary']",tt1699762,[99004],['OWN Oprah Winfrey Network'],2011-07-28,0,85,Serving Life
164094,0,[],[],tt1798693,[],[],2011-01-28,0,61,The Dawn Of A New Day
98563,0,[99],['Documentary'],,[],[],2011-01-01,0,0,Mr. Stache: Behind the Scenes
229636,0,[99],['Documentary'],,[],[],2011-02-08,0,60,Jocke hette Sussis man
229639,0,[99],['Documentary'],tt1587699,"[8483, 3180]","['Plattform Produktion', 'Pan Vision']",2011-11-10,0,74,The Extraordinary Ordinary Life of José González
229643,0,[99],['Documentary'],tt1931419,[17636],['Studio 24'],2011-05-26,0,90,Tomorrow's Another Day
295180,0,[],[],tt1663708,[],[],2011-01-01,0,0,Snitch
295194,0,[99],['Documentary'],,[10480],['Duke Video'],2011-07-25,0,240,Isle of Man TT: 2011 Review
98588,0,[],[],,[9199],['Ultimate 3D Heaven'],2011-10-01,0,76,Fabulous adventures in 3D 2011
196894,0,[],[],tt2058695,[],[],2011-05-24,0,18,Spoiler
295201,0,[],[],,[],[],2011-01-01,0,0,Princess Diana: Her Life in Jewels
327970,0,[],[],tt2419236,[],[],2011-01-01,0,3,Ersatz
98593,0,[10752],['War'],tt1872050,[],[],2011-03-24,0,90,Blessed Duns Scotus: Defender of the Immaculate Conception
327972,0,[],[],tt2004251,[],[],2011-11-04,0,9,If You Have No Place to Cry
295205,0,[99],['Documentary'],tt2881828,[23231],['Connell Creations'],2011-10-15,0,76,Sadermania
459053,0,[16],['Animation'],tt5159528,[18364],['The Animation Workshop'],2011-05-25,0,5,Salma
295214,0,"[16, 18, 14]","['Animation', 'Drama', 'Fantasy']",tt2015451,[],[],2011-01-01,0,16,Night Hunter
295216,0,[],[],tt1792058,[],[],2011-09-27,0,6,First Contact
65851,0,"[35, 99, 28]","['Comedy', 'Documentary', 'Action']",tt1753968,"[7277, 6328, 19, 746]","['Paradise F.X. Corp.', 'Dickhouse Productions', 'Film Roman', 'MTV Films']",2011-04-01,0,85,Jackass 3.5
295233,0,[],[],tt1880193,[],[],2011-09-27,0,70,Colors Of A Long Night
98627,0,"[53, 18]","['Thriller', 'Drama']",tt1815588,"[93518, 93519, 63505]","['Never Films', 'West Egg Studios', 'Bauman Entertainment']",2011-01-03,0,84,And Baby Will Fall
65870,0,[],[],tt1803744,[],[],2011-05-25,0,50,Rigamortis: A Zombie Love Story
229710,0,[99],['Documentary'],,[3180],['Pan Vision'],2011-07-19,0,222,Jan Troell - Sökaren
164178,0,[10402],['Music'],,[],[],2011-09-27,0,81,Iggy and the Stooges - Raw Power Live (In the Hands of the Fans)
98644,0,"[12, 18, 10749]","['Adventure', 'Drama', 'Romance']",tt1127886,[],[],2011-01-21,0,126,Here
328021,0,[],[],,[],[],2011-01-01,0,25,Praxis-8
131413,200,"[18, 35]","['Drama', 'Comedy']",tt1653848,[59277],['Donoma Prod'],2011-11-22,0,133,Donoma
328024,0,[],[],,[],[],2011-01-01,0,8,XXX!
426331,0,[27],['Horror'],tt1502403,[],[],2011-03-18,0,0,Ding Dong Dead
524637,0,"[35, 18]","['Comedy', 'Drama']",tt1907619,[],[],2011-01-01,0,28,Babyland
164195,0,[],[],tt2076829,[],[],2011-10-04,0,51,Corps Etranger
65892,0,"[35, 10749]","['Comedy', 'Romance']",tt1747924,[9026],['Bayonne Entertainment'],2011-04-10,0,73,My Future Boyfriend
196967,0,"[18, 10749]","['Drama', 'Romance']",tt2235505,[],[],2011-12-16,0,9,Empty Sky
590186,0,[12],['Adventure'],tt1852153,[85604],['Rena Riffel Films'],2011-02-11,0,86,Trasharella Ultra Vixen
164203,0,[99],['Documentary'],tt1859530,[],[],2011-04-06,0,87,Love Addict
885109,0,[],[],,[],[],2011-10-15,0,29,Ici rien
426361,0,[],[],tt2015454,[],[],2011-09-03,0,17,No Rest for the Wicked: A Basil & Moebius Adventure
164220,0,[],[],tt2040304,[],[],2011-04-28,0,58,Censuren - En thriller
524676,0,[18],['Drama'],tt1950456,[],[],2011-04-29,0,15,While I Breathe
393610,0,[],[],tt2261609,[],[],2011-01-01,0,4,Bring Lube!
197009,41536,[18],['Drama'],,[],[],2011-05-01,62875,84,How to Save a Life
262546,0,[18],['Drama'],,[],[],2011-02-10,0,0,Thambikottai
65945,0,[878],['Science Fiction'],tt1693872,"[63175, 7938]","['THQ', 'UCP']",2011-06-04,0,91,Red Faction: Origins
295321,400000,"[14, 10751]","['Fantasy', 'Family']",tt2125574,[],[],2011-12-16,0,89,Olive
65953,119567,[18],['Drama'],tt1525838,[7314],['A Small Production Company'],2011-08-05,0,86,Gun Hill Road
393639,0,[10402],['Music'],,[],[],2011-11-14,0,0,Megadeth: [2011] SWU Festival
229804,0,[18],['Drama'],tt2456502,[],[],2011-12-31,0,16,Losing Gracie
328121,0,[35],['Comedy'],tt2008617,[],[],2011-08-11,0,14,Ringo
1147326,0,[],[],,[],[],2011-01-01,0,0,The Count of Destiny
262595,0,[18],['Drama'],,[],[],2011-04-01,0,0,Appavi
328138,0,[],[],tt2229081,[],[],2011-10-13,0,0,Cherry on Top
328143,0,[],[],tt2337312,[],[],2011-01-01,0,0,Le khmer rouge et le non-violent
328144,0,[],[],tt2119473,[],[],2011-01-01,0,14,Man & Gun
229846,0,[18],['Drama'],tt1826877,[17698],['Lesser Men Productions'],2011-01-01,0,15,Teach'er
262633,0,[],[],tt1717371,[],[],2011-01-11,0,0,Making Stuff: Stronger
66025,0,[18],['Drama'],tt1450328,[],[],2011-02-11,330048,95,Mooz-lum
229869,0,[18],['Drama'],tt2569678,[17711],['Beyond Mirrors'],2011-05-31,0,15,Victims
262647,0,[99],['Documentary'],tt2107661,[],[],2011-10-09,0,30,Bone Wind Fire
328185,0,[],[],tt1966534,[],[],2011-11-12,0,77,Neben meinem Bruder
1016320,0,[],[],,[],[],2011-01-01,0,0,Sour Grapes
229893,0,[35],['Comedy'],tt2576978,[],[],2011-12-31,0,25,A Spoonful of Zanny
229922,0,"[18, 36]","['Drama', 'History']",tt2220788,[],[],2011-12-31,0,18,Dancing in the Ashes
229925,0,"[18, 35]","['Drama', 'Comedy']",tt2167773,[17726],['Sure Thing Productions'],2011-12-31,0,19,Is This a Joke?
98857,0,"[16, 35, 12]","['Animation', 'Comedy', 'Adventure']",tt2115386,"[9383, 25]","['Blue Sky Studios', '20th Century Fox']",2011-11-16,0,3,Scrat's Continental Crack-Up: Part 2
98861,0,[16],['Animation'],tt1910638,[],[],2011-09-29,0,6,The Lady ParaNorma
328241,0,"[18, 14]","['Drama', 'Fantasy']",tt1859597,[],[],2011-03-02,0,12,The Cartographer
229945,0,[18],['Drama'],tt2330450,[],[],2011-12-31,0,15,Tea & Crumpets
426554,3500,[99],['Documentary'],tt2448736,[83502],['Rojo Projects'],2011-03-18,0,75,Nova the Film
66109,0,[35],['Comedy'],tt1950464,"[21217, 20943]","['Amalgamated Bear', 'Generate']",2011-05-14,0,42,Wyatt Cenac: Comedy Person
229949,0,[99],['Documentary'],tt2170244,[],[],2011-12-31,0,12,Set Apart
98884,0,[99],['Documentary'],tt2040366,[110419],['Border City Pictures'],2011-04-29,0,52,Grinders
131655,0,"[99, 36]","['Documentary', 'History']",tt2101468,"[7521, 88269]","['National Geographic', 'Story House Productions']",2011-11-06,0,45,The Last Days of Osama Bin Laden
131659,0,[],[],,[],[],2011-01-01,0,5,In Sickness
131660,0,[],[],,[],[],2011-01-01,0,3,Homeless
66124,0,"[10402, 99]","['Music', 'Documentary']",tt1341795,[],[],2011-01-21,0,87,"Ride, Rise, Roar"
66125,0,"[18, 35, 10751]","['Drama', 'Comedy', 'Family']",tt0803061,"[7887, 7888, 53042, 7584, 46381, 2806]","['Endymion Films', 'ScreenWest', 'Woss Group Film Productions', 'Screen Australia', 'Essential Entertainment', 'South Australian Film Corporation']",2011-08-04,0,92,Red Dog
131664,0,[16],['Animation'],tt2002774,[],[],2011-01-01,0,5,Rooted
98900,0,[16],['Animation'],tt2097327,[],[],2011-09-12,0,3,Synchronize
98901,0,[28],['Action'],,[],[],2011-09-09,0,160,Ayutha Poratam
328283,0,[],[],,[],[],2011-01-01,0,10,Cassette
393827,0,"[53, 9648]","['Thriller', 'Mystery']",tt1617006,[],[],2011-01-01,0,13,Archæology
66150,45202,"[99, 18]","['Documentary', 'Drama']",tt1687247,"[1645, 49695, 144823]","['Scott Free Productions', 'LG', 'YouTube Originals']",2011-01-27,225861,95,Life in a Day
66154,0,[99],['Documentary'],tt1866258,[],[],2011-06-04,0,86,The China Question
66164,0,"[27, 53, 10749]","['Horror', 'Thriller', 'Romance']",tt1614456,[25814],['Almost Midnight Productions'],2011-02-25,0,90,Little Deaths
295540,0,[],[],tt3134088,[],[],2011-12-01,0,0,The Decade You Were Born The 40s
98932,0,[18],['Drama'],tt1600207,[42767],['Paper Bark Films Pty. Ltd.'],2011-09-07,0,114,The Eye of the Storm
590456,0,[],[],tt1988848,[],[],2011-03-01,0,4,Reddish Brown and Blueish Green
164472,0,[],[],tt2117880,[],[],2011-10-25,0,25,Gone Curling
1147530,0,[],[],,[],[],2011-01-01,0,0,All Fight for Justice
754326,0,[16],['Animation'],,[],[],2011-06-22,0,9,Damned
295576,0,"[27, 35, 9648]","['Horror', 'Comedy', 'Mystery']",tt1595025,[],[],2011-03-26,0,0,The Victorville Massacre
328351,0,[],[],tt1913193,[],[],2011-02-11,0,84,Utopians
361120,0,[99],['Documentary'],,[],[],2011-01-14,0,14,Being a Transgender Person in a Two-Gender Society
557734,0,[],[],,[],[],2011-01-01,0,0,Orlando
393901,0,[99],['Documentary'],,[17209],['VICE Media'],2011-01-01,0,41,North Korean Labor Camps
885427,0,[99],['Documentary'],,[],[],2011-01-01,0,21,Hidden Truth
197302,0,"[99, 12, 18]","['Documentary', 'Adventure', 'Drama']",tt1956671,[],[],2011-05-26,0,77,The Sacred Science
66232,0,[28],['Action'],,[],[],2011-11-30,0,0,Ivan Yaro
230074,0,"[35, 18]","['Comedy', 'Drama']",tt2027119,[17758],['A71 Productions'],2011-09-08,0,6,Issues
688835,0,[],[],,[],[],2011-01-01,0,82,Keep Singing
492228,0,[],[],tt2070850,[],[],2011-01-01,0,11,The Great Gatsby in Five Minutes
230085,0,[10402],['Music'],tt2698482,[],[],2011-12-31,0,5,Despertar
688838,0,[],[],,[],[],2011-01-01,0,93,Re: Maciunas and Fluxus
1114833,0,[],[],tt1628041,[],[],2011-01-01,0,120,Golden Brown
1049301,0,[],[],,[],[],2011-01-01,0,29,Litania
295659,65312,[],[],tt1835908,[],[],2011-01-01,0,30,Women in Charge
262893,0,[99],['Documentary'],tt1840416,[],[],2011-11-18,0,78,The Wonder Year
426768,0,[99],['Documentary'],tt1708388,[],[],2011-01-01,0,71,Behind The Wall
885523,1159,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']",tt1785546,[162699],['Alfonso Díaz Productions'],2011-02-27,0,3,Pelirrojo/Negro (Rött hår/Svart)
394003,0,"[99, 10402]","['Documentary', 'Music']",tt3899550,[3324],['BBC'],2011-11-25,0,59,Prince: A Purple Reign
328467,0,[],[],tt2172143,[],[],2011-11-17,0,0,White Men
295729,0,[99],['Documentary'],tt1870485,[],[],2011-09-01,0,10,Oil and Water
328520,0,[],[],,[],[],2011-11-11,0,0,40858
459594,0,[99],['Documentary'],tt2108467,[],[],2011-10-31,0,59,Andy Hamilton's Search For Satan
885602,0,"[99, 12, 18]","['Documentary', 'Adventure', 'Drama']",tt2072249,[],[],2011-01-01,0,80,The Third Way to Reach Remote Tribes
99180,0,[99],['Documentary'],tt1729609,"[7317, 9268]","['Cinema Libre Studio', '7thScreen']",2011-08-16,0,60,A Norml Life
328565,0,[],[],,[],[],2011-01-01,0,0,Lem Johns: Secret Service Man
328570,0,[],[],tt4510168,[],[],2011-03-01,0,50,Line Describing a Cone 2.0
328571,0,[],[],tt1803157,[],[],2011-04-05,0,0,Followed
983937,0,[9648],['Mystery'],,[],[],2011-08-01,0,21,The Poacher Woman of the Montafon
525196,0,[878],['Science Fiction'],tt2336287,[],[],2011-01-01,0,13,Gateway
983954,0,[27],['Horror'],tt3413116,[],[],2011-11-16,0,0,Tonight You Die
99219,0,[99],['Documentary'],,[],[],2011-01-01,0,58,TURBOS & TEMPLES
99220,0,"[28, 35, 878]","['Action', 'Comedy', 'Science Fiction']",tt1429382,"[23761, 24723]","['Synthetic Cinema International', 'Vijaya Cine Enterprises']",2011-08-05,0,90,Alien Opponent
230294,0,"[99, 10402]","['Documentary', 'Music']",,[],[],2011-08-03,0,42,Year Zero
721825,0,[27],['Horror'],tt12644780,[],[],2011-01-01,0,13,Stiffed
