ID,Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue,Runtime,Title
107866,0,"[10751, 14, 878]","['Family', 'Fantasy', 'Science Fiction']",tt0119744,[2499],['The Kushner-Locke Company'],5/22/12,0,81,Goobers!
264843,0,[],[],tt0156592,[],[],7/21/12,0,12,Happy-End
61200,0,[18],['Drama'],tt0162942,[],[],4/7/11,0,0,Children of the Green Dragon
453657,0,"[18, 28]","['Drama', 'Action']",tt0187902,[],[],4/2/11,0,0,How Huang Fei-hong Rescued the Orphan from the Tiger's Den
62941,600000,"[10402, 99]","['Music', 'Documentary']",tt0195658,"[8273, 10511]","['Eagle Rock Entertainment', 'Doors Video Company']",10/22/12,0,71,The Doors: Live at the Bowl '68
56073,0,"[99, 36]","['Documentary', 'History']",tt0277561,[],[],8/1/12,0,58,Alcatraz Is Not an Island
157920,0,[],[],tt0282195,[12113],['CBC'],3/30/11,0,46,Talking to Americans
136884,0,[53],['Thriller'],tt0293069,"[1261, 8]","['Scala Productions', 'Fine Line Features']",9/27/12,0,86,Dark Blood
482360,0,[99],['Documentary'],tt0310700,[99184],['Cinema Politica Vod'],5/5/11,0,58,Bad Girl
23738,0,"[10751, 16, 878]","['Family', 'Animation', 'Science Fiction']",tt0312305,[],[],12/2/12,0,45,Quantum Quest: A Cassini Space Odyssey
79544,7750000,"[53, 27, 9648]","['Thriller', 'Horror', 'Mystery']",tt0323808,"[24036, 24037, 632]","['Euro Center Productions', 'Tressock Films', 'British Lion Films']",8/27/11,0,96,The Wicker Tree
83770,25000000,"[12, 18]","['Adventure', 'Drama']",tt0337692,"[8372, 70, 79077, 614, 83, 10611, 346, 21914, 12467, 6274, 6705, 104, 7131]","['SPAD Films', 'American Zoetrope', 'Jerry Leider Company', 'Vanguard Films', 'France 2 Cinéma', 'Ciné+', 'VideoFilmes', 'K & S Films', 'Nomadic Pictures', 'MK2 Films', 'Film4 Productions', 'Canal+', 'France Télévisions']",5/22/12,8784318,124,On the Road
132131,0,"[80, 18]","['Crime', 'Drama']",tt0342717,"[86612, 86613]","['Extra Film Productions MVP LLC', '99 Ways Entertainment']",10/21/11,0,88,Joy Road
23514,45000000,"[35, 18]","['Comedy', 'Drama']",tt0376136,"[816, 3281, 2691, 7263, 181992]","['FilmEngine', 'GK Films', 'Infinitum Nihil', 'FilmDistrict', 'Mandate International']",10/13/11,24000000,120,The Rum Diary
45772,36000000,"[16, 10751]","['Animation', 'Family']",tt0377981,"[9195, 2885, 28320, 14, 181992]","['Touchstone Pictures', 'Starz Animation', 'Rocket Pictures', 'Miramax', 'Mandate International']",1/13/11,189712432,84,Gnomeo & Juliet
76489,30000000,[35],['Comedy'],tt0383010,"[8890, 25, 1156, 91002, 444]","['Wessler Entertainment', '20th Century Fox', 'Conundrum Entertainment', 'C3 Entertainment, Inc.', 'Dune Entertainment']",4/13/12,54819301,92,The Three Stooges
49529,250000000,"[28, 12, 878]","['Action', 'Adventure', 'Science Fiction']",tt0401729,[2],['Walt Disney Pictures'],3/7/12,284139100,132,John Carter
331967,0,[],[],tt0402214,[],[],7/30/11,0,60,The Salt Ghost: Return of the Nitro Express
97434,0,"[35, 80]","['Comedy', 'Crime']",tt0404978,"[5490, 7493, 13472, 13473, 57742]","['CBS Films', 'FilmNation Entertainment', 'Crime Scene Pictures', 'Michael Lobell Productions', 'ArtPhyl']",4/25/12,0,89,Gambit
135570,2100000,[27],['Horror'],tt0406492,[10953],['Lifeline Entertainment'],11/1/11,0,0,0.465972222
114552,0,[],[],tt0408143,[],[],1/28/12,0,100,Space Shuttle: Return to Flight
49849,163000000,"[28, 878, 53, 37]","['Action', 'Science Fiction', 'Thriller', 'Western']",tt0409847,"[7, 33, 7294, 7295, 23, 7296, 7297, 124910]","['DreamWorks Pictures', 'Universal Pictures', 'Reliance Entertainment', 'Relativity Media', 'Imagine Entertainment', 'K/O Paper Products', 'Fairview Entertainment', 'Platinum Studios']",7/29/11,174822325,119,Cowboys & Aliens
111839,19500000,"[18, 10749, 10770]","['Drama', 'Romance', 'TV Movie']",tt0423455,"[3268, 48038, 48039]","['HBO', 'Attaboy Films', 'For Whom Productions']",8/27/12,0,155,Hemingway & Gellhorn
77883,14000000,"[27, 53]","['Horror', 'Thriller']",tt0431021,"[768, 22637, 1632]","['Ghost House Pictures', 'North Box Productions', 'Lionsgate']",8/30/12,85446075,92,The Possession
39254,110000000,"[28, 878, 18]","['Action', 'Science Fiction', 'Drama']",tt0433035,"[9195, 11395, 12087, 76067, 76043, 7, 7294, 2575]","['Touchstone Pictures', 'ImageMovers', 'Angry Films', 'Kontsept Film Company', 'Revolution Sun Studios', 'DreamWorks Pictures', 'Reliance Entertainment', '21 Laps Entertainment']",9/28/11,299268508,127,Real Steel
50024,1500000,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']",tt0433397,[],[],3/1/11,0,0,Satin
72976,65000000,"[36, 18]","['History', 'Drama']",tt0443272,"[7, 56, 444, 862, 6735, 7294, 25]","['DreamWorks Pictures', 'Amblin Entertainment', 'Dune Entertainment', 'The Kennedy/Marshall Company', 'Participant', 'Reliance Entertainment', '20th Century Fox']",11/9/12,275293450,149,Lincoln
70736,0,"[18, 10749]","['Drama', 'Romance']",tt0448022,[],[],9/23/11,0,99,A Bird of the Air
