,MPAA,Running Time,Genres,Title,Revenue,imdb_ids,Domestic Distributor,Domestic Opening,Earliest Release Date,Budget
0,PG,1 hr 21 min,Family Fantasy Sci-Fi,Mystery Monsters (1997),{},tt0119744,,,,
1,,12 min,Short,Happy-End (1996),{},tt0156592,,,,
2,,1 hr 29 min,Drama,Children of the Green Dragon (2010),{},tt0162942,,,,
3,,1 hr 11 min,Documentary Music,The Doors: Live at the Hollywood Bowl (1987),{},tt0195658,,,,
4,,1 hr 9 min,Documentary,Alcatraz Is Not an Island (2001),{},tt0277561,,,,
5,,46 min,Comedy,Talking to Americans (2001),{},tt0282195,,,,
6,,1 hr 26 min,Thriller,Dark Blood (2012),{},tt0293069,,,,
7,,53 min,Documentary,Bad Girl (2001),{},tt0310700,,,,
8,,50 min,Adventure Animation Sci-Fi,Quantum Quest: A Cassini Space Odyssey (2010),{},tt0312305,,,,
9,R,1 hr 36 min,Drama Horror,The Wicker Tree (2011),{},tt0323808,,,,
10,R,2 hr 4 min,Adventure Drama Romance,On the Road (2012),"{'Domestic': 744296, 'International': 8873081, 'Worldwide': 9617377}",tt0337692,IFC Films,39550.0,"May 23, 2012 (France)",
11,R,1 hr 28 min,Crime Drama,Joy Road (2004),{},tt0342717,,,,
12,R,1 hr 59 min,Comedy Drama,The Rum Diary (2011),"{'Domestic': 13109815, 'International': 17025143, 'Worldwide': 30134958}",tt0376136,FilmDistrict,5135369.0,"October 20, 2011 (EMEA, APAC)",45000000.0
13,,1 hr 24 min,Adventure Animation Comedy Family Fantasy Musical Romance,Gnomeo & Juliet (2011),"{'Domestic': 99967670, 'International': 94000000, 'Worldwide': 193967670}",tt0377981,Walt Disney Studios Motion Pictures,25356909.0,"February 10, 2011 (APAC, EMEA)",
14,PG,1 hr 32 min,Comedy Family,The Three Stooges (2012),"{'Domestic': 44338224, 'International': 10481077, 'Worldwide': 54819301}",tt0383010,Twentieth Century Fox,17010125.0,"April 13, 2012 (Domestic)",30000000.0
15,PG-13,2 hr 12 min,Action Adventure Sci-Fi,John Carter (2012),"{'Domestic': 73078100, 'International': 211061000, 'Worldwide': 284139100}",tt0401729,Walt Disney Studios Motion Pictures,30180188.0,"March 7, 2012 (APAC, EMEA)",250000000.0
16,PG-13,1 hr 29 min,Comedy Crime,Gambit (2012),"{'Domestic': 10200000, 'International': 10200000}",tt0404978,,,"November 23, 2012 (United Kingdom)",
17,,,Crime Drama,11:11 (2011),{},tt0406492,,,,
18,,,Documentary,Return to Flight: Fixing the Space Shuttle (2004),{},tt0408143,,,,
