ids,star_2010,star_2011,star_2012,star_2013,star_2014,star_2015,star_2016,star_2017,star_2018,star_2019,star_2020,star_2021,star_2022,star_2023
8193,55,0,55,0,0,0,0,0,0,0,0,0,0,0
565250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1417218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1417220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1073157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909318,0,0,0,0,0,0,0,0,0,0,69,128,128,59
7,0,0,60,60,60,0,100,100,100,0,0,0,0,0
8,100,0,100,0,0,0,0,88,88,88,0,0,0,0
229380,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1138699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302549,0,0,0,0,0,0,0,0,18,18,18,0,0,0
1064983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,68,68,68,0,32,32,32,0,0,0,0,0
57370,0,61,90,90,56,27,27,0,0,0,0,0,0,0
1368090,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1359897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81950,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,11,11,11,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,11,11,11
32802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,97,97,97,91,91,91,0,0,99,99,99,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023476,0,0,0,0,0,0,0,0,0,0,0,0,2,2
8246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,17,0,17,24,101,101,77,37,37,37,0,0,0,0
57408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2187334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2613318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958540,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1368144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41041,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41039,0,0,58,58,58,75,75,75,0,0,0,0,0,0
229459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1736783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1056850,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1286233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65630,29,0,29,0,0,65,65,65,0,83,83,83,0,0
3342433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,33
155747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
