ids,star_2010,star_2011,star_2012,star_2013,star_2014,star_2015,star_2016,star_2017,star_2018,star_2019,star_2020,star_2021,star_2022,star_2023
1,0,0,0,0,0,100,100,200,189,287,187,98,0,91
2,535,422,1319,1155,1141,1084,1220,1081,1228,1261,1276,1233,885,859
3,100,170,440,340,170,174,274,442,366,362,384,360,397,294
4,719,1024,2025,1774,1087,1199,1084,1038,972,881,874,838,1079,1355
5,519,590,2075,2079,1945,1443,1399,1410,1377,1484,1298,1353,1147,1223
7,147,340,637,500,216,129,228,320,421,404,403,280,224,129
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163849,0,0,0,0,0,0,0,0,0,0,0,0,0,31
11,0,30,212,306,371,189,95,0,0,0,0,0,0,0
12,194,110,568,682,935,1012,1061,938,969,942,748,618,441,666
14,7,78,85,78,0,57,62,62,85,80,167,230,299,249
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,28,0,28,85,111,111,26,0,0,0,0,0,0,0
18,3,0,3,0,0,0,0,0,0,0,0,0,0,0
131091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,84,84,84,0,0,0,0,0,0
21,33,136,655,846,1011,806,786,512,453,374,389,726,691,753
131092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,75,82,157,86,5,31,49,139,221,199,108,0,0,0
25,419,566,1501,1557,1816,1646,1897,1847,1853,1536,881,529,120,0
33,304,396,1514,1822,1834,1664,1861,2117,2134,1868,1864,1880,2434,2250
34,90,258,348,569,383,669,442,440,262,303,233,125,0,43
35,63,0,63,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,20,74,74,54,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,19,139,139,152,32
43,76,50,126,50,53,80,80,138,124,166,55,42,0,0
163885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,45,0,45,38,38,90,61,61,9,0,135,183,184,49
65582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
