Index,ID
1,16
2,32834
3,71
4,77
5,98
6,107
7,134
8,8358
9,243
10,8452
11,318
12,327
13,392
14,8584
15,462
16,479
17,16888
18,25166
19,641
20,8843
21,8859
22,8871
23,8870
24,711
25,786
26,889
27,25520
28,955
29,9285
30,9383
31,75031
32,17711
33,9532
34,1359
35,9600
36,9678
37,9679
38,1493
39,17908
40,9741
41,1588
42,1597
43,1619
44,1636
45,18041
46,894588
47,1831
48,1900
49,1907
50,18292
51,2024
52,2046
53,2067
54,2069
55,2085
56,2089
57,2123
58,2133
59,2155
60,51333
61,10383
62,10384
63,10385
64,10393
65,10461
66,10468
67,10471
68,10479
69,10481
70,10501
71,26916
72,2360
73,10559
74,10560
75,10562
76,10564
77,10577
78,10571
79,10637
80,10647
81,10687
82,10688
83,10763
84,2621
85,2655
86,10862
87,10876
88,10873
89,2787
90,568173
91,904112
92,19419
93,27723
94,11398
95,756895
96,36047
97,11478
98,11531
99,44412
100,11678
101,11688
102,3536
103,511498
104,11849
105,11973
106,11978
107,36657
108,12107
109,44895
110,3981
111,896920
112,10567
113,12211
114,12212
115,77908
116,4234
117,4244
118,4247
119,20697
120,12509
121,4327
122,20770
123,29076
124,21311
125,37722
126,4958
127,4967
128,21378
129,29572
130,13526
131,13539
132,29946
133,5491
134,5551
135,14181
136,5994
137,292890
138,22597
139,22617
140,6282
141,6521
142,14736
143,47816
144,23618
145,7290
146,15489
147,7443
148,7450
149,15655
150,24100
151,16110
152,16222
153,16340
154,120
155,141
156,161
157,167
158,8386
159,73981
160,16651
161,8489
162,331
163,16723
164,24936
165,24940
166,33152
167,441
168,453
169,585
170,25208
171,634
172,8835
173,644
174,671
175,676
176,8922
177,768
178,33557
179,808
180,824
181,853
182,855
183,869
184,50035
185,25462
186,1018
187,25641
188,9290
189,9378
190,9397
191,9398
192,9428
193,9476
194,17708
195,1365
196,9705
197,1535
198,9740
199,1548
200,9778
201,353849
202,9799
203,1613
204,9816
205,9880
206,9889
207,9896
208,1722
209,1734
210,34549
211,9989
212,10016
213,10054
214,1903
215,1921
216,1933
217,1999
218,1995
219,2018
220,26602
221,2034
222,2043
223,2057
224,2100
225,2114
226,2140
227,2144
228,2171
229,2176
230,26791
231,10477
232,2294
233,35080
234,18734
235,13496
236,10596
237,18828
238,10646
239,10691
240,10696
241,2575
242,10796
243,10808
244,10833
245,10866
246,19058
247,10865
248,10877
249,10878
250,19076
251,43664
252,2749
253,10950
254,10956
255,2770
256,10972
257,10984
258,10992
259,11086
260,11088
261,11091
262,11090
263,19405
264,11232
265,11313
266,3172
267,11370
268,11371
269,11380
270,11397
271,11456
272,11467
273,11469
274,11470
275,896236
276,896246
277,60828
278,11889
279,12103
280,20309
281,12138
282,12149
283,4012
284,12312
285,4133
286,4248
287,12508
288,12589
289,20794
290,12610
291,12658
292,20857
293,4965
294,13166
295,5175
296,13408
297,5279
298,30379
299,14033
300,14034
301,5852
302,38717
303,5955
304,6073
305,46943
306,14369
307,6440
308,31016
309,31668
310,39939
311,23685
312,7501
313,15720
314,15745
315,56715
316,23949
317,24113
318,319065
319,16161
320,8007
321,16300
322,8198
323,65
324,121
325,8346
326,170
327,180
328,201
329,8427
330,245
331,16643
332,8470
333,16690
334,320
335,423
336,425
337,455
338,8665
339,557
340,565
341,590
342,608
343,640
344,672
345,8869
346,17130
347,34341
348,818
349,9012
350,9016
351,9021
352,9023
353,9034
354,9039
355,25461
356,9093
357,9266
358,9275
359,9280
360,9296
361,9298
362,9334
363,9357
364,25853
365,9488
366,34081
367,17710
368,9533
369,9544
370,1360
371,9557
372,9573
373,17774
374,9583
375,1429
376,1430
377,9637
378,9645
379,9685
380,1537
381,1576
382,1574
383,9884
384,9932
385,9962
386,1809
387,10052
388,1894
389,18323
390,10133
391,1957
392,18357
393,10167
394,2022
395,10229
396,59387
397,2103
398,2135
399,2165
400,10375
401,2185
402,10426
403,2251
404,92384
405,10550
406,10590
407,10592
408,10611
409,2501
410,10771
411,2637
412,2642
413,2675
414,10918
415,2752
416,2755
417,2757
418,10985
419,10996
420,11013
421,11022
422,11056
423,3131
424,3132
425,11362
426,11442
427,11452
428,11458
429,11468
430,11529
431,11535
432,11547
433,11544
434,11560
435,11692
436,11812
437,20009
438,11870
439,11880
440,11888
441,11892
442,11979
443,36586
444,36669
445,12100
446,20337
447,12277
448,4108
449,4147
450,20616
451,12590
452,29047
453,4547
454,12770
455,12771
456,12779
457,4614
458,4911
459,4912
460,13369
461,37964
462,13435
463,251053
464,13497
465,13536
466,30072
467,21925
468,13768
469,13908
470,30309
471,13950
472,5851
473,14112
474,6020
475,14365
476,6278
477,14293
478,31005
479,14635
480,14672
481,39541
482,15028
483,15070
484,15074
485,31477
486,15186
487,7090
488,7299
489,7303
490,7451
491,15647
492,23986
493,15992
494,16028
495,8051
496,12
497,20
498,22
499,24
500,83
501,122
502,153
503,237
504,327954
505,277
506,296
507,302
508,310
509,321
510,322
511,470
512,504
513,508
514,553
515,584
516,587
517,604
518,605
519,616
520,1088
521,1278
522,1415
523,1428
524,1435
525,1584
526,1647
527,1792
528,1807
529,1817
530,1927
531,1996
532,2055
533,2056
534,2116
535,2289
536,2662
537,2771
538,2832
539,3097
540,36658
541,4256
542,4464
543,4592
544,4612
545,4970
546,4997
547,5146
548,5653
549,6038
550,6171
551,6466
552,6964
553,7270
554,7288
555,73571
556,8046
557,8273
558,8326
559,8409
560,8619
561,8696
562,8698
563,8961
564,9257
565,9341
566,9358
567,9373
568,9471
569,9480
570,9486
571,9506
572,9562
573,9567
574,9582
575,9616
576,9620
577,9654
578,9776
579,9902
580,9919
581,10009
582,10028
583,10105
584,10147
585,10152
586,10159
587,10327
588,10330
589,10588
590,10601
591,10623
592,10629
593,10632
594,10678
595,10708
596,10715
597,10719
598,10720
599,10735
600,10743
601,10744
602,10756
603,10782
604,10894
605,10923
606,10922
607,10929
608,10934
609,10944
610,174831
611,11007
612,11019
613,11059
614,11093
615,11329
616,11351
617,11375
618,273566
619,11427
620,11523
621,11615
622,11635
623,11775
624,11817
625,12090
626,12146
627,12253
628,45040
629,12279
630,12767
631,13132
632,13370
633,13411
634,13433
635,13537
636,13691
637,13920
638,14411
639,47277
640,14527
641,14873
642,14926
643,15394
644,15603
645,16072
646,48891
647,16941
648,17345
649,17473
650,410928
651,17813
652,18736
653,19153
654,19277
655,20210
656,20694
657,21052
658,21525
659,22309
660,1170077
661,56427
662,24982
663,25428
664,59210
665,27090
666,60013
667,28200
668,1110727
669,95140
670,30141
671,30246
672,30806
673,30973
674,31246
675,32316
676,27
677,38
678,70
679,80
680,163
681,176
682,205
683,327955
684,291
685,314
686,393
687,395
688,401
689,421
690,435
691,558
692,594
693,615
694,652
695,673
696,693
697,747
698,809
699,866
700,924
701,1392
702,1487
703,1538
704,1577
705,1586
706,1677
707,1777
708,1824
709,34672
710,1944
711,1954
712,1966
713,1970
714,1997
715,2023
716,2048
717,2059
718,2122
719,2288
720,2502
721,2539
722,2567
723,2789
724,3098
725,3099
726,36648
727,3989
728,4380
729,4553
730,4599
731,4836
732,37641
733,5137
734,5255
735,5516
736,5966
737,71547
738,169870
739,235708
740,6478
741,6947
742,7131
743,7220
744,8080
745,8193
746,40990
747,8699
748,8842
749,8849
750,8920
751,9352
752,9372
753,9384
754,9472
755,9477
756,9509
757,9541
758,9675
759,9759
760,9801
761,9806
762,9833
763,9890
764,9893
765,10096
766,10145
767,10204
768,10555
769,10589
770,10591
771,10625
772,10677
773,10718
774,10733
775,10762
776,43670
777,11024
778,11025
779,11026
780,11036
781,11045
782,11052
783,11058
784,11081
785,11109
786,11128
787,11130
788,11132
789,11141
790,11169
791,11184
792,11208
793,11217
794,11247
795,11249
796,11282
797,11358
798,11588
799,11632
800,11774
801,11823
802,44593
803,11836
804,11866
805,44634
806,12109
807,12153
808,12281
809,12634
810,12653
811,12657
812,897439
813,12703
814,13193
815,13416
816,13476
817,13572
818,13700
819,13702
820,14024
821,14172
822,210864
823,14292
824,14337
825,14442
826,14462
827,14623
828,14844
829,14846
830,15045
831,15089
832,15237
833,15566
834,15644
835,15673
836,48463
837,15708
838,15775
839,16232
840,16427
841,16428
842,16617
843,16635
844,16784
845,17047
846,247481
847,18475
848,18701
849,18923
850,19084
851,19180
852,20148
853,20200
854,20304
855,20483
856,20912
857,21301
858,54807
859,23520
860,23601
861,24034
862,188348
863,25372
864,25379
865,25460
866,59188
867,26579
868,26710
869,289177
870,25
871,59
872,67
873,69
874,74
875,116
876,118
877,142
878,179
879,187
880,215
881,231
882,254
883,257
884,272
885,327957
886,292
887,308
888,340
889,398
890,411
891,533
892,546
893,561
894,612
895,674
896,787
897,791
898,921
899,953
900,1495
901,1635
902,1640
903,1656
904,1696
905,67238
906,1830
907,1833
908,1895
909,1904
910,1947
911,1985
912,2026
913,264346
914,2313
915,264734
916,2610
917,2652
918,2800
919,3291
920,3527
921,3631
922,3933
923,4348
924,4379
925,4442
926,4551
927,168705
928,5236
929,5289
930,6439
931,6519
932,6795
933,6957
934,6961
935,6963
936,7214
937,7233
938,7364
939,7453
940,7552
941,7553
942,7870
943,7873
944,8053
945,8066
946,8202
947,8292
948,8488
949,8643
950,8814
951,41726
952,8968
953,8976
954,8978
955,8999
956,9007
957,9009
958,9042
959,9043
960,9074
961,9291
962,9315
963,9335
964,9388
965,9392
966,9515
967,9522
968,9621
969,9641
970,9667
971,9687
972,9700
973,9701
974,9722
975,9729
976,9738
977,9763
978,9777
979,9779
980,9787
981,9813
982,9885
983,9899
984,9910
985,9913
986,9923
987,9928
988,9947
989,9968
990,9981
991,9982
992,10008
993,10012
994,10022
995,10027
996,10048
997,10060
998,10064
999,10065
1000,10066
1001,10070
1002,10077
1003,10092
1004,174008
