title,release_date,budget,revenue
Le Divorce,2003-08-08,0,12991996
Inkheart,2008-12-11,60000000,62803180
This Boy's Life,1993-04-09,0,4104962
Das kann doch unsren Willi nicht erschüttern,1970-01-01,0,0
Rat Race,2001-08-17,48000000,85498534
Schultze Gets the Blues,2003-09-02,0,0
Frenzy,1972-05-25,3500000,12600000
Goal! II: Living the Dream,2007-02-09,10000000,7864905
The X Files: I Want to Believe,2008-07-24,30000000,69363381
Bully,2001-06-15,0,480811
Die Polizistin,2000-05-10,0,0
A Scanner Darkly,2006-07-07,8700000,7659918
American Madness,1932-08-15,0,0
To Live and Die in L.A.,1985-11-01,0,17307019
Le Fantôme de la liberté,1974-09-10,0,0
25th Hour,2002-12-19,5000000,23932055
Viktor und Viktoria,1957-04-16,0,0
Speed 2: Cruise Control,1997-06-13,160000000,164508066
Die Geierwally,2005-01-07,0,0
Iron Man,2008-04-30,140000000,585174222
Curious George,2006-02-10,50000000,69834815
Deep Impact,1998-05-08,75000000,349464664
The Beach,2000-02-03,40000000,144056873
The Hills Have Eyes,2006-03-10,15000000,69623713
Kommissar X - Drei blaue Panther,1968-03-30,0,0
Inherit the Wind,1960-07-07,0,0
Outlaw,2007-03-09,0,0
Bambi,1942-08-14,858000,267447150
Boys Don't Cry,1999-09-02,2000000,11540607
Platoon,1986-12-19,6000000,138530565
Blondie Brings Up Baby,1939-11-08,0,0
Jerry Cotton - Um Null Uhr schnappt die Falle zu,1966-03-04,0,0
Triple Cross,1966-12-09,0,0
The Goonies,1985-06-07,19000000,61389680
Erkan & Stefan in Der Tod kommt krass,2005-05-19,0,0
Dead Weekend,1995-10-08,0,0
Lebensborn,1961-01-13,0,0
"Cousin, Cousine",1975-11-19,0,0
Black Rain,1989-09-22,30000000,134212055
The Village,2004-07-30,60000000,256697520
The Mask of Fu Manchu,1932-11-05,327627,0
American Gigolo,1980-02-08,5000000,52700000
Venusberg,1963-04-26,0,0
My Favorite Martian,1999-02-11,65000000,36850101
"2 oder 3 Dinge, die ich von ihm weiß",2005-04-07,0,0
Shooter,2007-03-22,61000000,95696996
North Country,2005-02-12,35000000,25224242
Natural Born Killers,1994-08-26,34000000,50283563
Sleuth,1972-12-10,3500000,5750000
Sous mes yeux,2002-06-23,0,0
Geld,1989-03-15,0,0
The Final Countdown,1980-01-31,12000000,16647800
"Che notte, ragazzi!",1966-09-30,0,0
Ratatouille,2007-06-28,150000000,623726000
Mortal Kombat: Annihilation,1997-11-11,30000000,51376861
Shooting War,2000-12-07,0,0
Die Geierwally,1940-08-13,0,0
7 vírgenes,2005-10-14,0,0
Mission: Impossible II,2000-05-24,125000000,546388105
The World's Biggest Penis,2006-02-01,0,0
The Family Man,2000-12-12,60000000,124700000
Straight to Hell,1987-06-26,0,0
Angel,1984-04-19,3000000,0
Two for the Money,2005-10-07,35000000,30526509
Grizzly Man,2005-08-12,0,0
Space Riders,1984-01-01,0,0
King Kong,2005-12-12,207000000,562363449
Bird on a Wire,1990-05-18,20000000,138700000
Meduzot,2007-05-05,1800000,938881
Monster's Ball,2001-06-07,4000000,44909486
The Most Dangerous Game,1932-09-16,200000,0
Gattaca,1997-09-07,36000000,12532777
High Fidelity,2000-03-17,30000000,47126295
L'Animal,1977-10-05,0,0
Wild Orchid II: Two Shades of Blue,1991-10-31,0,573904
Serbis,2008-06-24,0,0
Poetic Justice,1993-07-23,14000000,27515786
Otto - Der Neue Film,1987-07-16,0,0
The Greatest Story Ever Told,1965-02-15,20000000,15473333
The Grapes of Wrath,1940-03-15,800000,1591000
I Love You to Death,1990-04-06,0,0
Curious George,2006-02-10,50000000,69834815
Raising Helen,2004-05-27,50000000,49718611
Завет,2007-05-26,0,0
The Bourne Ultimatum,2007-08-03,70000000,442824138
Against the Ropes,2004-02-20,39000000,6432551
"The Cook, the Thief, His Wife & Her Lover",1989-10-13,2300000,7724701
Tout va bien,1972-04-28,0,0
A trăda,1993-11-24,0,0
Sneakers,1992-09-09,23000000,105232691
Une Histoire Simple,1978-11-22,0,0
Pan Tadeusz,1999-10-18,0,0
The Reunion,2004-01-01,0,0
Superbad,2007-03-20,20000000,170812526
Die schöne Müllerin,1954-09-23,0,0
Wer früher stirbt ist länger tot,2006-08-17,0,0
恐怖伝説　怪奇！フランケンシュタイン,1981-07-27,0,0
Zärtliche Chaoten II,1988-06-30,0,0
Big Momma's House,2000-05-31,30000000,173959438
Duel,1971-11-13,450000,0
